ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,HABITAT,ALT_DOSEL,COB_DOSEL,LOCALIDAD,LOCALIDAD_2,DURACION,FECHA,MES,DIA,ANO,HORA_INICIO,HORA_FIN,NUBES,VIENTO,CIGARRAS,ESPECIE,SP_CHECK,DETECTED,M30,M50,B_MIXTA,NOTAS,Time_1,ELEV,X,Y
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Crotophaga ani,Crotophaga ani,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Crotophaga ani,Crotophaga ani,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Crotophaga ani,Crotophaga ani,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Setophaga fusca,Setophaga fusca,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Cyanocorax affinis,Cyanocorax affinis,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Sicalis flaveola,Sicalis flaveola,1,1,0,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Sicalis flaveola,Sicalis flaveola,1,1,0,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Tyrannus melancholicus,Tyrannus melancholicus,1,1,0,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Myiozetetes cayanensis,Myiozetetes cayanensis,1,1,0,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Thraupis episcopus,Thraupis episcopus,1,1,0,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Melanerpes rubricapillus,Melanerpes rubricapillus,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA05,5,GUA05DGL44167710,2,-74.6357,5.1043,DGL,1,Potrero con árboles,5,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,710,720,30,2,0,Hylophilus flavipes,Hylophilus flavipes,1,0,1,,,7:10,1320,540378.0526,564204.8993
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Basileuterus rufifrons,Basileuterus rufifrons,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Tyrannus melancholicus,Tyrannus melancholicus,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Melanerpes rubricapillus,Melanerpes rubricapillus,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Thraupis episcopus,Thraupis episcopus,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Sicalis flaveola,Sicalis flaveola,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Sicalis flaveola,Sicalis flaveola,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Turdus leucomelas,Turdus leucomelas,1,0,1,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Melanerpes rubricapillus,Melanerpes rubricapillus,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Troglodytes aedon,Troglodytes aedon,1,0,1,,,7:26,1320,540366.8625,564392.8128
GUA04,4,GUA04DGL44167726,2,-74.6358,5.106,DGL,1,Potrero con árboles,10,30,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,726,736,30,2,0,Myiozetetes cayanensis,Myiozetetes cayanensis,1,1,0,,,7:26,1320,540366.8625,564392.8128
GUA03,3,GUA03DGL44167739,2,-74.6367,5.1077,DGL,1,Corredor de bosque,15,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,739,749,30,2,0,Catharus ustulatus,Catharus ustulatus,1,1,0,,,7:39,1320,540267.0017,564580.6762
GUA03,3,GUA03DGL44167739,2,-74.6367,5.1077,DGL,1,Corredor de bosque,15,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,739,749,30,2,0,Catharus ustulatus,Catharus ustulatus,1,1,0,,,7:39,1320,540267.0017,564580.6762
GUA03,3,GUA03DGL44167739,2,-74.6367,5.1077,DGL,1,Corredor de bosque,15,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,739,749,30,2,0,Turdus ignobilis,Turdus ignobilis,1,1,0,,,7:39,1320,540267.0017,564580.6762
GUA03,3,GUA03DGL44167739,2,-74.6367,5.1077,DGL,1,Corredor de bosque,15,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,739,749,30,2,0,Thraupis episcopus,Thraupis episcopus,1,0,1,,,7:39,1320,540267.0017,564580.6762
GUA03,3,GUA03DGL44167739,2,-74.6367,5.1077,DGL,1,Corredor de bosque,15,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,739,749,30,2,0,Lepidocolaptes souleyetii,Lepidocolaptes souleyetii,1,0,1,,,7:39,1320,540267.0017,564580.6762
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Catharus ustulatus,Catharus ustulatus,1,1,0,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Catharus ustulatus,Catharus ustulatus,1,1,0,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Cardellina canadensis,Cardellina canadensis,1,1,0,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Leptotila verreauxi,Leptotila verreauxi,1,0,1,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Cardellina canadensis,Cardellina canadensis,1,1,0,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Ramphocelus dimidiatus,Ramphocelus dimidiatus,1,0,1,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Dendroplex picus,Dendroplex picus,1,0,1,,,7:57,1167,540300.147,564768.6148
GUA02,2,GUA02DGL44167757,2,-74.6364,5.1094,DGL,1,Interior bosque secundario,30,90,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,757,807,60,2,0,Turdus ignobilis,Turdus ignobilis,1,0,1,,,7:57,1167,540300.147,564768.6148
GUA01,1,GUA01DGL44167817,2,-74.6377,5.1111,DGL,1,Borde de bosque,10,50,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,11,12/2/2020,12,2,2020,817,828,30,1,0,Thraupis episcopus,Thraupis episcopus,1,1,0,,,8:17,1167,540155.9518,564956.4532
GUA01,1,GUA01DGL44167817,2,-74.6377,5.1111,DGL,1,Borde de bosque,10,50,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,11,12/2/2020,12,2,2020,817,828,30,1,0,Setophaga fusca,Setophaga fusca,1,1,0,,,8:17,1167,540155.9518,564956.4532
GUA01,1,GUA01DGL44167817,2,-74.6377,5.1111,DGL,1,Borde de bosque,10,50,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,11,12/2/2020,12,2,2020,817,828,30,1,0,Ramphocelus dimidiatus,Ramphocelus dimidiatus,1,1,0,,,8:17,1167,540155.9518,564956.4532
GUA01,1,GUA01DGL44167817,2,-74.6377,5.1111,DGL,1,Borde de bosque,10,50,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,11,12/2/2020,12,2,2020,817,828,30,1,0,Ramphocelus dimidiatus,Ramphocelus dimidiatus,1,1,0,,,8:17,1167,540155.9518,564956.4532
