ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Chlorornis riefferii,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Anisognathus igniventris,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Tangara vassorii,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Chlorornis riefferii,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Coeligena bonapartei,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Anisognathus igniventris,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Sporathraupis cyanocephala,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Sporathraupis cyanocephala,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Anisognathus igniventris,2724,577649.6164,488844.4329,Survey
JSP04,10,JSP04JSP44097815,3,-74.30013,4.42231,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Pachyramphus versicolor,2724,577649.6164,488844.4329,Survey
JSP05,11,JSP05JSP44097842,3,-74.30128,4.42146,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2724,577522.1075,488750.3498,Survey
JSP05,11,JSP05JSP44097842,3,-74.30128,4.42146,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2724,577522.1075,488750.3498,Survey
JSP05,11,JSP05JSP44097842,3,-74.30128,4.42146,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Pyrrhomyias cinnamomeus,2724,577522.1075,488750.3498,Survey
JSP05,11,JSP05JSP44097842,3,-74.30128,4.42146,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Mecocerculus leucophrys,2724,577522.1075,488750.3498,Survey
JSP05,11,JSP05JSP44097842,3,-74.30128,4.42146,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2724,577522.1075,488750.3498,Survey
JSP05,11,JSP05JSP44097842,3,-74.30128,4.42146,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Mecocerculus leucophrys,2724,577522.1075,488750.3498,Survey
JSP06,12,JSP06JSP44097908,3,-74.30134,4.41959,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Henicorhina leucophrys,2724,577515.6446,488543.6247,Survey
