ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD,PERIOD
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zenaida auriculata,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Spinus spinescens,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Sturnella magna,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Sturnella magna,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Troglodytes aedon,2788,578197.6702,488907.9617,Survey,Modern
JSP01,7,JSP01JSP44097715,3,-74.29519,4.42288,JSP,3,Vereda El Penon,9/23/2020,9,23,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey,Modern
