ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD,PERIOD
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Todirostrum cinereum,1320,540522.2122,564083.3858,Survey,Modern
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Icterus chrysater,1320,540522.2122,564083.3858,Survey,Modern
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Stilpnia vitriolina,1320,540522.2122,564083.3858,Survey,Modern
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Coragyps atratus,1320,540522.2122,564083.3858,Survey,Modern
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Turdus leucomelas,1320,540522.2122,564083.3858,Survey,Modern
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Amazilia tzacatl,1320,540522.2122,564083.3858,Survey,Modern
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Turdus ignobilis,1320,540522.2122,564083.3858,Survey,Modern
GUA06,6,GUA06DGL44167653,2,-74.6335,5.1046,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Cyanocorax affinis,1320,540621.8793,564238.2,Survey,Modern
GUA06,6,GUA06DGL44167653,2,-74.6335,5.1046,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Myiozetetes similis,1320,540621.8793,564238.2,Survey,Modern
GUA06,6,GUA06DGL44167653,2,-74.6335,5.1046,DGL,1,Vereda Santa Rosa,12/2/2020,12,2,2020,Myiozetetes similis,1320,540621.8793,564238.2,Survey,Modern
