ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD,PERIOD
FLO_H1,39,116312,17,-75.595919,1.650134,CHAP,5,Florencia,7/3/1912,7,3,1912,Myrmoborus myotherinus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116313,16,-75.595919,1.650134,CHAP,5,Florencia,7/2/1912,7,2,1912,Myrmoborus myotherinus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116314,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Myrmoborus myotherinus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116315,13,-75.705285,1.508875,CHAP,5,La Murelia,7/16/1912,7,16,1912,Myrmoborus myotherinus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116316,14,-75.705285,1.508875,CHAP,5,La Murelia,7/17/1912,7,17,1912,Myrmoborus myotherinus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116317,9,-75.705285,1.508875,CHAP,5,La Murelia,7/12/1912,7,12,1912,Myrmoborus myotherinus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116319,8,-75.705285,1.508875,CHAP,5,La Murelia,7/11/1912,7,11,1912,Formicarius colma,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116320,7,-75.705285,1.508875,CHAP,5,La Murelia,7/10/1912,7,10,1912,Formicarius colma,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116321,19,-75.705285,1.508875,CHAP,5,La Murelia,7/22/1912,7,22,1912,Formicarius colma,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116322,17,-75.595919,1.650134,CHAP,5,Florencia,7/3/1912,7,3,1912,Formicarius colma,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116323,9,-75.705285,1.508875,CHAP,5,La Murelia,7/12/1912,7,12,1912,Formicarius analis,253,421544.4762,166789.1259,Specimen,Historical
