"Species","TOCHE_H","TOCHE_M","TOCHE_EXT","TOCHE_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Accipiter striatus",0,1,NA,1,1.05575218862772,-0.313759922790729,0.282091366824616,1.14370994793763,1.1239020170879,1.62702624574081,0.407646610758507,2.02657289310819,0.127650044748073,1.27459121320093,0.322872351319991,0.267977219341808,-0.248945907089453,0.404838400184992
"Acropternis orthonyx",2,6,NA,NA,0.772730055896777,-0.048356127565019,-0.38786133614475,-0.112585071983289,0.232617183834493,0.791515290289607,-1.22300168008007,0.639656110056591,1.37202731280073,0.0155545512913138,0.412557152516912,-0.303493236928678,0.387082786611536,0.324174742769193
"Adelomyia melanogenys",2,12,NA,NA,-1.43228155654967,-0.336838513679922,-0.842472098873962,-0.716127725562807,-0.817685428039011,-1.0899316019857,2.31654044328779,-2.34524420361331,-1.92869952240284,0.191084876322729,0.151103762807887,0.117785473492962,-0.277961275309061,0.135135340374292
"Aeronautes montivagus",0,6,NA,1,-0.362551424993308,-0.9945783540219,-0.890325863371774,0.182673204587986,-0.60566172321221,-0.959963231137732,2.86008987356732,-1.67162595706441,-2.13759156063172,1.33038002334212,0.0390756440575047,0.744450450047497,0.434746810494516,0.281174549926232
"Aglaiocercus kingii",0,9,NA,1,-1.44790841684734,-0.181058025177874,-0.866398981122868,-0.635076433955006,-0.61351445302061,-1.07136469186456,2.49125276016335,-2.19854633472058,-2.14768377113039,0.216880874050005,0.16352649442024,-0.0542153738451632,-0.314220016154935,0.127955170579159
"Amazona mercenarius",2,2,NA,NA,1.78089267528508,0.511299701497892,2.19624194673709,1.61264956366848,0.466235895634393,-0.173964036009562,0.517650662124601,2.70295147592896,-0.875599623654151,-0.631802874020265,-0.982132063439716,1.53937928416148,0.663666349069883,-0.156246755261054
"Amblycercus holosericeus",1,1,NA,NA,0.587425859269311,0.378597803885037,0.210310720077898,-0.115479760969282,0.401450874715093,0.488255758311022,-0.892989525981787,0.891064212946647,0.796018269452022,-0.534427308496891,0.0515074831563086,-0.260976263938096,0.144588140033113,0.239661633159013
"Ampelion rubrocristatus",6,11,NA,NA,0.541950755876162,-0.186827672900172,-0.124665631406785,0.155173659221054,0.179611257627792,0.0797837356459886,0.00645536459980937,0.303271943554593,0.15123584241789,0.196868804991727,-0.0347972319353243,0.110553045205153,0.416602265060543,0.200031793980025
"Anabacerthia striaticollis",0,4,NA,1,-0.203303637666482,-0.296450979623835,-0.555349511887091,-0.221135908958022,-0.0186701700343085,-0.223475796332597,-0.414148361211728,-0.580979829462689,0.47088493031984,0.0531281843485071,-0.0338439876997412,-0.261461407306291,0.236592347143995,-0.113713330368049
"Andigena hypoglauca",2,5,NA,NA,1.71769976558484,3.89231326676455,4.73249146512112,0.990291431680003,1.8247581524876,1.07620791214705,-0.88651869943084,5.9304415074065,-0.7890447384089,-4.21155110546546,-0.986762964302438,0.287590547516536,-1.01985693719478,0.0543894817862717
"Andigena nigrirostris",3,22,NA,NA,1.80286163011063,3.7365327782625,5.16317534560142,0.936739685439135,2.1251250676589,1.02050718178364,-0.802397954268532,6.15563099829837,-0.840228082413719,-4.19583950162759,-1.44820967036001,0.451560986468509,-1.18209705925004,0.203450282461518
"Anisognathus igniventris",0,30,NA,1,0.035818986852731,-0.515697593071161,-0.148592513655691,-0.212451842000043,-0.0343756296511085,0.0921616757267474,-0.491798279823089,-0.250135656612257,0.704915499663131,0.121103784152013,-0.138266821342079,0.143505555261443,0.0655502097584099,0.0961558852970794
"Anisognathus lacrymosus",14,30,NA,NA,-0.0341885238204868,-0.498388649904267,-0.172519395904596,-0.1892943301121,-0.0304492647469084,0.0921616757267474,-0.517681586026876,-0.271982783548666,0.709709765400059,0.116791913594404,-0.120998156443558,0.106021989025143,0.0334227269959596,0.0361848516090493
"Anisognathus somptuosus",1,15,NA,NA,0.239785108560305,-0.215675911511662,-0.0528849846600667,-0.154558062280186,-0.0814920085015085,0.0550278554844715,-0.220023564683326,-0.0323458258651454,0.370435059792039,-0.0776473098066318,-0.0284196488947064,0.171443278785035,0.199621265509925,0.186733884388498
"Anthocephala berlepschi",1,5,NA,NA,-1.60527328178102,-0.261833093290047,-1.15352156810974,-0.740732581943746,-0.872654536697811,-1.18895512263177,2.5947859849785,-2.62130215361847,-2.19961665602963,0.277585767169559,0.328298973712859,-0.0678045621701955,-0.237181681737498,0.100549936796251
"Arremon assimilis",8,0,1,NA,0.139800406651322,-0.296450979623835,0.0428225443355568,-0.274687655198891,0.154089885750492,0.259263866816988,-1.00946440389883,0.116176823268718,1.0845893415524,-0.179234304234862,-0.190788268483967,-0.0269032744421979,-0.00133243034702837,0.0865314689434795
"Arremon brunneinucha",0,9,NA,1,0.23122144825319,-0.244524150123153,-0.00503122016225508,-0.315213301002791,0.150163520846292,0.321153567220781,-0.990051924245988,0.16154772645291,1.08618392154212,-0.187914829532134,-0.108705834467041,-0.0623823815628916,0.0447772054181365,0.174901801015597
"Asio stygius",1,0,1,NA,2.16580275991421,1.04210729194931,0.90419030529617,3.24525415176847,1.8973959032153,1.16904246275274,1.1129667048117,4.24198591250942,-1.40821155151733,1.03058675309641,0.237108482562613,0.206904073538206,0.768320491136415,-0.560387014677367
"Atlapetes albinucha",1,4,NA,NA,0.0313477297927664,-0.377226047736008,0.114603191082274,-0.423764137977525,0.130531696325292,0.209752106493954,-0.964168618042201,-0.0274721577965596,1.07588106086092,-0.214135337960282,-0.292787549811832,0.0241110161882171,-0.111359202641544,0.151021508585626
"Atlapetes flaviceps",2,10,NA,NA,0.0291021700065139,-0.556085127127248,-0.435715100642562,-0.457053061316443,-0.315110720301409,0.0488388854440922,-0.847693740125159,-0.589994478354074,1.06739044271233,0.00811822354628602,0.0410826558429397,0.0584484493102081,0.237833137501896,0.120182396920515
"Atlapetes pallidinucha",2,6,NA,NA,0.0490766288318044,-0.417613581792094,-0.172519395904596,-0.361528324778678,0.0343357561723918,0.358287387463057,-0.802397954268532,-0.121157665269229,1.01812898190315,0.0156219371997179,-0.00632242138466034,-0.019734753679333,-0.0545241502919745,0.189390746796778
"Atlapetes schistaceus",11,28,NA,NA,-0.111327172167713,-0.561854774849546,-0.244300042651314,-0.38902787014561,0.134458061229492,0.0735947656056095,-0.770043821513799,-0.371530121109374,0.951633906878321,0.10428856052476,-0.250533673854125,-0.096512219063995,-0.0192852138667462,0.0850718676520177
"Aulacorhynchus albivitta",0,15,NA,1,1.35955457022155,2.51913710885762,3.63185488167144,0.308592175478677,0.843166926437594,0.475877818230263,-0.763572994962852,3.8614452178113,-0.342467826578992,-3.33778088423583,-0.946912742453815,0.688517908438985,-0.568534093534629,0.260020033302545
"Boissonneaua flavescens",4,2,NA,NA,-1.04205206574675,-0.16374908201098,-0.818545216625056,-0.396264592610592,-0.56247170926601,-1.06517572182418,2.38771953534821,-1.85936751657392,-2.07592051063513,0.279480836264513,0.14679207259521,0.0413443207928806,-0.0101080367598138,0.124221951387606
"Bubulcus ibis",0,10,NA,1,1.8367388172492,2.28258155224339,0.593140836060393,2.0526422895394,0.271880832876493,3.29185918660284,0.355879998350933,4.24797473465116,-0.370983257298169,-0.353736649510208,2.76378268426121,0.0969860270619199,-0.244909901138113,0.218974835486866
"Buteo platypterus",1,0,1,NA,1.99953271727908,0.263204849439076,1.19131289228304,2.53460800570721,1.9975182082724,1.84364019715409,0.808837856917204,4.03045793132064,-0.596426802815855,1.38359047442423,0.00966955983807692,0.513016116226704,0.0174288145332716,0.0801114410270201
"Buthraupis montana",2,40,NA,NA,0.748750061718365,-0.0945133093434032,0.353872013571334,0.378064711142506,0.262064920615993,0.543956488674436,-0.174727778826699,0.965119810662772,0.345100669600455,0.105560728401002,0.00981202026719903,0.373971311694509,0.166910777010097,0.22921442188041
"Butorides striata",0,1,NA,1,1.38440518583218,2.68645689280426,0.736702129553828,1.0322644219769,-0.262104794094709,1.44754611456981,0.278230079739572,2.88998539896592,-0.842455388101023,-1.76828741585766,1.88934804919287,-0.0779524750799877,0.314354578585369,0.106138485929462
"Cacicus chrysonotus",9,18,NA,NA,0.679556098913561,0.303592383495162,0.162456955580086,0.587929662626991,1.01396379977029,0.500633698391781,-0.394735881558888,1.37361788244315,0.285481253906038,0.104798096119211,-0.120477944561526,-0.391496460938451,0.186881486763789,-0.00875313453254706
"Campephilus pollens",1,0,1,NA,1.33144521770854,1.48060051884397,1.35880106802538,1.04239583342788,0.990405610345095,0.42017708786685,-0.517681586026876,2.79156208181319,-0.164530202158338,-1.19547984212676,-0.22603148879151,-0.059754202770232,0.370953785899883,-0.176577658309245
"Camptostoma obsoletum",0,1,NA,1,-1.05135127288648,-0.804179979186064,-0.698910805380527,-0.727706481506779,-0.709710393173511,-0.601002968795733,-0.511210759475929,-1.83491197314327,0.682157633171848,-0.0412579846098282,-0.131118019146874,0.0255426339624346,-0.0979861154582201,-0.303098094006943
"Caracara plancus",0,11,NA,1,2.65584033689949,1.20365742817366,2.00482688874584,4.01524142204258,2.5256142878873,3.60749665866219,0.148813548720637,6.62387148936747,-0.175376479681801,1.29923893091414,0.902057842229305,0.610397378817318,-0.501282458124433,-0.397563718360758
"Catamblyrhynchus diadema",0,2,NA,1,-0.6312525399281,-0.769562092852276,-0.316080689398032,-0.54389373089623,-0.142350664516609,-0.149208155848045,-0.776514648064745,-0.973887668446365,0.966468041766047,0.0720723953158499,-0.319343615988041,-0.0110951104197951,-0.230952560660642,-0.121979388809685
"Catamenia homochroa",1,2,NA,NA,-0.74094661898625,-0.711865615629295,-0.340007571646938,-0.555472486840201,-0.38578528857701,-0.1925309461307,-0.556506545332556,-1.14229892043654,0.762567212945679,-0.000905617565769484,-0.171430783504939,0.101601295496914,-0.256593856865609,-0.144161173678506
"Catharus ustulatus",1,0,1,NA,-0.0514980237451451,-0.544545831682651,-0.363934453895844,-0.0865328711093528,-0.171798401298109,0.370665327543816,0.478825702818921,-0.355010248359321,0.00815212886592515,0.55148834699252,0.294746901392192,0.283432465141178,-0.113304514540412,0.31045983700935
"Chaetocercus mulsant",0,3,NA,1,-1.60527328178102,-0.157979434288682,-1.12959468586083,-0.917308610089313,-1.09253097133301,-1.18895512263177,2.68537755669176,-2.73484405788861,-2.27024482600574,0.0824439746505019,0.454792400319507,0.0078240909057663,-0.243498929686833,0.222948284005366
"Chamaepetes goudotii",7,27,NA,NA,2.35759321135532,0.742085610389814,0.640994600558205,2.18290329390908,3.3403350055088,2.70390703276681,-0.938285311838414,4.97975951343052,0.923773082798934,1.33174598408471,0.139939662092039,-1.07283102758481,-0.0250146530024714,0.294589822491838
"Chamaeza mollissima",2,0,1,NA,0.604457494525998,-0.175288377455576,-0.148592513655691,-0.1892943301121,-0.213025232792209,0.834838080572262,-0.744160515310012,0.399563272881584,1.05589190490485,-0.0268175034270353,0.517796625545047,0.195028583998731,0.148571717269767,0.431109188975311
"Chlorophonia cyanocephala",0,1,NA,1,-0.63664669702983,-0.827258570075256,-0.483568865140373,-0.555472486840201,-0.770569049188611,-0.563869148553458,0.291171732841466,-1.563504471419,0.0592406116792254,0.15954845972894,-0.101384106284125,0.435068336138776,0.0398255157488905,0.0200227884368058
"Chlorophonia pyrrhophrys",0,4,NA,1,-0.489500538009386,-0.752253149685381,-0.435715100642562,-0.514946841036301,-0.707747210721411,-0.421522837624734,-0.0323695947058711,-1.32433111733866,0.332874664853693,0.0771849250609816,-0.0639519372088238,0.382064796020382,0.0820033411489674,0.00531016780804981
"Chlorornis riefferii",10,14,NA,NA,0.372263875972568,-0.19259732062247,0.138530073331181,0.0625436116692814,0.199243082148792,0.352098417422678,-0.401206708109835,0.449782251207869,0.54149809692065,0.0190979026463619,-0.066201915692916,0.157591143918662,0.0674424347235767,0.154764251876698
"Chlorospingus canigularis",0,2,NA,1,-0.446181555198235,-0.533006536238055,-0.483568865140373,-0.483105262190379,-0.42112257271481,-0.291554466776769,-0.297673483294687,-1.04709477672604,0.486143329970304,-0.00685123851447385,-0.0325906421524334,0.0556519033448355,0.0650600066403685,-0.0358909974803689
"Chlorospingus flavopectus",9,8,NA,NA,-0.366331362372109,-0.521467240793459,-0.316080689398032,-0.510604807557312,-0.260141611642609,-0.136830215767287,-0.56944819843445,-0.801563351441417,0.73764333482747,-0.0740602378894593,-0.126686621442159,0.027604959099769,-0.0316656447786064,0.00586679359841058
"Chlorostilbon melanorhynchus",3,5,NA,NA,-1.91256550472202,-0.446461820403585,-0.962106510118492,-0.831915285002523,-0.976703206659112,-1.21989997283366,2.83420656736353,-2.85583058569896,-2.3513831598857,0.309937801429528,0.196796313498524,0.156443062632884,-0.549701196069017,0.0984348959767638
"Cinclus leucocephalus",2,1,NA,NA,0.23122144825319,-0.313759922790729,-0.651057040882715,-0.245740765338962,-0.55069261455341,0.314964597180402,-0.200611085030486,-0.441842764208201,0.54444655441177,0.160064244585508,0.610197896085722,0.146357512938317,0.349205594450235,0.272527744086813
"Cinnycerthia olivascens",2,4,NA,NA,-0.215627094124133,-0.336838513679922,-0.531422629638185,-0.520736219008287,-0.218914780148509,0.104539615807506,-0.970639444593147,-0.615356563834869,1.08699117179019,-0.144740826661039,0.145747920956118,-0.236120697947296,0.0783448538127399,0.0117494926872416
"Cinnycerthia unirufa",2,11,NA,NA,-0.0743502838844401,-0.284911684179239,-0.555349511887091,-0.419422104498535,-0.107013380378809,0.203563136453574,-0.782985474615692,-0.432512225192238,0.937022007223917,-0.0253916804751937,0.213268524322882,-0.262990082981208,0.118114814088645,0.0933801965550176
"Cistothorus platensis",0,22,NA,1,-0.971501080060351,-0.509927945348863,-0.91425274562068,-0.823231218044544,-0.58602989869121,-0.204908886211459,-0.711806382555278,-1.59627890647226,0.876689974371625,-0.11592543182694,0.24598118557654,-0.332237977130265,-0.159533736001003,-0.170203434811141
"Cnemoscopus rubrirostris",3,1,NA,NA,-0.446181555198235,-0.440692172681286,-0.507495747389279,-0.266003588240912,-0.148240211872909,-0.10588536556539,-0.478856626721196,-0.738954984041747,0.599570796169571,0.0909647256243271,0.00351625918884062,-0.143905361730538,-0.00623946181831962,-0.177921924753224
"Coeligena coeligena",12,2,NA,NA,-1.1839351767175,0.719007019500622,-0.79461833437615,-0.441132271893482,-0.57228762152651,-1.10849851210684,2.49125276016335,-1.62279275145705,-2.50999658055843,-0.429651714369513,0.482466010671051,-0.388823052107162,-0.0500536767181734,0.0111918135005232
"Coeligena lutetiae",5,42,NA,NA,-1.13016256784821,0.984410814726333,-0.842472098873962,-0.365870358257667,-0.58406671623911,-1.07755366190494,2.53007771946904,-1.48099556979817,-2.63574966308042,-0.571796421349034,0.653669645179767,-0.506687013711615,0.0197307670938259,-0.0291433038785365
"Coeligena torquata",2,19,NA,NA,-1.19516317279642,0.90363574661416,-0.890325863371774,-0.416527415512543,-0.60958808811641,-1.13944336230873,2.47831110706146,-1.61362128858918,-2.57516413192182,-0.546083106380748,0.608858007805984,-0.513141439224597,0.0219602458536772,-0.0514688458584558
"Coereba flaveola",0,1,NA,1,-0.891650887234226,-0.60801195662793,-0.603203276384903,-0.69441755816786,-0.843206799916311,-0.415333867584355,-0.336498442600368,-1.62125358676157,0.533789856635049,-0.16239807879392,0.0992851596337818,0.138905426394332,-0.101705767420904,-0.178471741516141
"Colaptes rivolii",1,31,NA,NA,0.86843073465584,0.511299701497892,0.640994600558205,0.389643467086478,0.493720449963793,0.0735947656056095,-0.25237769743806,1.2812842870023,0.0231796233815522,-0.552957923229784,-0.284012225378117,0.0989261873119046,0.400088867685179,0.0882480238463756
"Colaptes rubiginosus",0,5,NA,1,0.411280808215504,0.193969076771499,0.210310720077898,0.325960309394634,0.0323725737202919,-0.0687515453231143,-0.0776653805624982,0.497776945749112,-0.0200444562002733,-0.296690267599532,-0.0504025823666297,0.198606717842966,0.354196483397692,-0.0970091905771429
"Colibri coruscans",0,7,NA,1,-1.19516317279642,0.30936203121746,-0.770691452127244,-0.393369903624599,-0.50357623570301,-1.11468748214721,2.46536945395957,-1.72907949044241,-2.35180064229252,-0.093065875809429,0.266402201637438,-0.214393121572098,-0.0935453564685986,0.0140383893198175
"Colibri cyanotus",9,79,NA,NA,-1.29153101247472,-0.00219894578663451,-0.938179627869586,-0.580077343221141,-0.688115386200411,-1.12087645218759,2.42007366810294,-2.11033805831629,-2.15740268168376,0.0841065740584084,0.282195561290315,-0.111794340188719,-0.108550700894803,0.098413710147327
