"Species","HON_H","HON_M","HON_EXT","HON_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Actitis macularius",2,0,1,NA,0.166529278175978,0.113194008659327,-0.818545216625056,-0.0315337803754876,-0.47216531646941,0.0364609453633336,1.49474547131756,-0.403396471483276,-1.77386397568126,-0.401298559902469,-0.489926049760661,0.493709442592849,0.435185401377454,0.380653899290417
"Amazilia tzacatl",1,22,NA,NA,-1.44790841684734,-0.0945133093434032,-0.722837687629432,-0.668365357293924,-0.841243617464211,-1.10849851210684,2.41360284155199,-2.05139560004948,-2.89975004126951,0.118910487031751,-0.136411322388708,-0.195180547940395,-0.31521153983543,0.0387347308039665
"Amazona amazonica",0,1,NA,1,1.84497667958933,0.770933849001305,2.93797529645317,1.44186291349489,0.434824976400793,-0.136830215767287,0.245875946984838,3.37116458117868,-0.315010556064715,1.76092799429432,2.17293811247138,0.350926187394703,0.0767470978492693,-0.113158085822467
"Amazona farinosa",0,6,NA,1,2.24350371096418,1.12865200778378,3.41651294143129,2.01645867721448,1.1180124697316,0.203563136453574,0.271759253188626,4.58006063216662,-0.32483458443552,2.07608408941787,2.05537870978749,0.26107227865878,-0.0350143706898187,-0.241631789894247
"Amazona ochrocephala",2,32,NA,NA,2.03732847109107,0.840169621668881,3.24902476568895,1.59672877424551,0.774455540614094,-0.0996963955250108,0.252346773535785,3.84994479648747,-0.272710051413233,2.07142346255593,2.18847988752695,0.294720640779558,0.00217505198009794,-0.097866296805036
"Anthracothorax nigricollis",1,0,1,NA,-1.16196622189195,0.113194008659327,-0.890325863371774,-0.525078252487276,-0.782348143901211,-1.18276615259139,2.56890267877472,-1.8497321617124,-3.11932984613769,0.0833674561708421,-0.285179720683593,-0.1752002389053,0.0309106269296996,0.0521247351954547
"Aramides cajaneus",0,2,NA,1,1.8983563594335,1.59022382556763,-0.196446278153502,1.10173695764073,-0.279773436163609,2.4377813210305,-0.828281260472319,2.75894018958802,0.571797087556756,-2.0956011991023,0.00182914153984326,0.538946838537649,0.962976898660451,0.35147814238298
"Ardea alba",0,3,NA,1,2.49408474167257,5.91745961729117,1.40665483252319,3.99787328812662,1.2456193291181,7.30231177276862,0.498238182471761,9.16481337938073,-1.60664263823674,-4.60894247241772,-0.176204970279728,-0.635909287810305,-0.67085327835644,-0.0881982836689487
"Ardea cocoi",0,2,NA,1,3.02365445424553,7.10600704808457,3.00975594319989,5.26429971949851,1.9877022960119,10.0749703508585,0.478825702818921,12.4868793791255,-1.59306311212612,-5.34392384976821,0.296935123190734,-0.60224493866375,-2.09319184525728,-0.00682913304950097
"Arremon aurantiirostris",1,27,NA,NA,0.046883064714639,-0.446461820403585,0.114603191082274,-0.432448204935503,-0.209098867888009,0.116917555888264,-0.847693740125159,-0.285861619118196,1.0018411948317,-0.0402929383679543,0.273963972329374,0.13362821859778,-0.0583692966192283,0.223659629270695
"Arremonops conirostris",7,8,NA,NA,0.0770298295746604,-0.331068865957624,0.018895662086651,-0.417974760005539,-0.185540678462809,0.277830776938126,-1.04828936320451,-0.194827138902372,1.1953302973805,-0.242776407430064,0.195669407116473,0.0669607150041226,-0.00692083847264763,0.211176681184145
"Atalotriccus pilaris",2,11,NA,NA,-1.1839351767175,-0.584933365738738,-0.651057040882715,-0.888361720229384,-0.856949077081011,-0.508168418190044,-1.00946440389883,-1.94684905713979,0.962634938350065,-0.560830947936049,0.175783490473573,-0.282494993393157,-0.136888902245903,-0.290602614073625
"Automolus ochrolaemus",1,1,NA,NA,0.162768099868809,-0.0714347184542111,-0.316080689398032,-0.221135908958022,-0.0343756296511085,-0.00686184491932138,-0.446502493966462,-0.158477140270949,0.446934627514235,-0.170171244331255,-0.178646729938384,0.00486832160556075,0.32783123313357,0.124315774471807
"Baryphthengus martii",2,0,1,NA,1.2329483099023,1.47483087112167,1.33487418577648,0.696480499601725,3.4110095737844,0.556334428755194,-0.537094065679716,3.68847173941888,0.746393609307881,1.64338151816899,-1.11391174341899,-1.63966618454507,-0.1267571538339,0.270693571198341
"Basileuterus rufifrons",0,29,NA,1,-0.861926454997784,-0.642629842961718,-0.531422629638185,-0.745074615422736,-0.299405260684609,-0.217286826292217,-0.847693740125159,-1.37983922799222,0.926958503787663,-0.27103928412841,-0.189060001344282,-0.183787642959997,-0.248473565143324,-0.0861531623986339
"Brotogeris jugularis",3,66,NA,NA,0.505659417954787,-0.152209786566384,0.736702129553828,0.117542702403146,-0.213025232792209,-0.712404429522561,1.13885001101549,0.274080071470858,-1.24072586678391,1.00884219921962,0.715189179283385,0.427733713756206,0.173043434384637,0.260640247771272
"Buteo nitidus",0,10,NA,1,2.10144254020514,0.378597803885037,1.21523977453195,2.09461527983629,1.8365372472002,2.53680484167657,0.200580161128211,4.35151883150577,0.0711516886059207,0.357118493653884,-0.740049787651277,1.19537438350338,-0.4630437383749,0.197420696848387
"Buteo platypterus",0,1,NA,1,1.99953271727908,0.263204849439076,1.19131289228304,2.53460800570721,1.9975182082724,1.84364019715409,0.808837856917204,4.27571811792829,-0.651353028403563,0.932795971914619,-0.89508171197779,1.31414966298631,-0.313673705118265,-0.256981157986616
"Butorides striata",1,5,NA,NA,1.38440518583218,2.68645689280426,0.736702129553828,1.0322644219769,-0.262104794094709,1.44754611456981,0.278230079739572,2.99185735504233,-0.945881606181548,-1.39387203741785,0.939979775852283,-0.593220614206484,0.786070164906679,0.168142440454833
