"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Aburria aburri",4,0,1,NA,2.85625649689178,0.770933849001305,0.760629011802734,3.3957779790401,4.18842982481601,2.61107248216112,-0.562977371883503,6.90211873214148,0.354014653432551,2.53799779587472,-0.144199769878883,-0.47556808084148,-0.159566583296712,-0.444613922727096
"Accipiter striatus",0,1,NA,1,1.05575218862772,-0.313759922790729,0.282091366824616,1.14370994793763,1.1239020170879,1.62702624574081,0.407646610758507,2.48606041506447,0.134469507460061,1.33273274657471,0.41959018561627,0.544779603864575,-0.819410600292057,0.207103232683663
"Adelomyia melanogenys",0,16,NA,1,-1.43228155654967,-0.336838513679922,-0.842472098873962,-0.716127725562807,-0.817685428039011,-1.0899316019857,2.31654044328779,-2.43700439704864,-1.99518176936702,0.273605333520468,0.154037689644998,-0.0483779670983633,-0.290431905978479,0.071953217465911
"Aglaiocercus kingii",26,6,NA,NA,-1.44790841684734,-0.181058025177874,-0.866398981122868,-0.635076433955006,-0.61351445302061,-1.07136469186456,2.49125276016335,-2.28339663627275,-2.22306655225656,0.347982928744886,0.171291743414797,-0.221840456381774,-0.307923555670422,0.0513136220732064
"Amazilia tzacatl",0,1,NA,1,-1.44790841684734,-0.0945133093434032,-0.722837687629432,-0.668365357293924,-0.841243617464211,-1.10849851210684,2.41360284155199,-2.29857572818464,-2.21306884056153,0.0710344327430811,0.207782281175668,-0.0901420532665912,-0.275048905676138,0.0265591730797635
"Amazona mercenarius",4,0,1,NA,1.78089267528508,0.511299701497892,2.19624194673709,1.61264956366848,0.466235895634393,-0.173964036009562,0.517650662124601,3.09332606403881,-1.17594384175115,-0.733144040659032,-1.18286749532515,1.69219013606061,0.491873377990396,-0.0764806549001258
"Anabacerthia striaticollis",12,1,NA,NA,-0.203303637666482,-0.296450979623835,-0.555349511887091,-0.221135908958022,-0.0186701700343085,-0.223475796332597,-0.414148361211728,-0.404478174362581,0.502262808513037,0.143232433046891,0.0143041103880211,-0.24520737986871,0.263652481723704,-0.0941722701733193
"Anisognathus somptuosus",16,6,NA,NA,0.239785108560305,-0.215675911511662,-0.0528849846600667,-0.154558062280186,-0.0814920085015085,0.0550278554844715,-0.220023564683326,0.181356367528597,0.359761830886575,-0.0629914863882124,0.0272542237021978,0.191856495845108,0.0973433419166257,0.224757367790722
"Anthocephala berlepschi",0,7,NA,1,-1.60527328178102,-0.261833093290047,-1.15352156810974,-0.740732581943746,-0.872654536697811,-1.18895512263177,2.5947859849785,-2.74183307082568,-2.26046796893852,0.434873118294387,0.344750775489175,-0.225123184358354,-0.2173397633457,0.0173533053284533
"Anthracothorax nigricollis",0,1,NA,1,-1.16196622189195,0.113194008659327,-0.890325863371774,-0.525078252487276,-0.782348143901211,-1.18276615259139,2.56890267877472,-2.11572398041727,-2.44041267710886,0.202258068846448,0.347642601910019,-0.153885454645885,0.0674032266883217,0.0835933472771665
"Arremon brunneinucha",4,17,NA,NA,0.23122144825319,-0.244524150123153,-0.00503122016225508,-0.315213301002791,0.150163520846292,0.321153567220781,-0.990051924245988,0.420827612019998,1.12114270036589,-0.217374964720965,-0.0190791000084893,-0.0799633368673103,-0.026289977146786,0.226325689914609
"Atlapetes albinucha",6,1,NA,NA,0.0313477297927664,-0.377226047736008,0.114603191082274,-0.423764137977525,0.130531696325292,0.209752106493954,-0.964168618042201,0.207062516628171,1.10854084827911,-0.307989580841478,-0.225143760380466,-0.0437915045202476,-0.177344805405984,0.203487987953003
"Atlapetes fuscoolivaceus",8,24,NA,NA,0.00162329755632422,-0.475310059015075,-0.244300042651314,-0.449816338851461,0.0284462088160918,0.203563136453574,-0.731218862208118,-0.0906474924295233,1.00763232295275,0.00458244662857613,0.00077209919842304,-0.0712352708271594,-0.103489764858688,0.247011305188736
"Aulacorhynchus albivitta",3,10,NA,NA,1.35955457022155,2.51913710885762,3.63185488167144,0.308592175478677,0.843166926437594,0.475877818230263,-0.763572994962852,4.32379998682101,-0.738129631609244,-3.62431816613498,-0.959743890506982,0.227573087798036,-0.288453651232498,0.478915986897315
"Basileuterus tristriatus",11,21,NA,NA,-0.753473778139228,-0.538776183960353,-0.531422629638185,-0.597445477137098,-0.40345393064591,-0.19871991617108,-0.698864729453385,-1.04101387562769,0.888485018002863,-0.168736372651226,0.0392019860660816,-0.217007112067947,-0.113783161936392,-0.195938624648036
"Boissonneaua flavescens",0,12,NA,1,-1.04205206574675,-0.16374908201098,-0.818545216625056,-0.396264592610592,-0.56247170926601,-1.06517572182418,2.38771953534821,-1.91076049372561,-2.16167935577268,0.452392344736609,0.14071417128387,-0.0402734966790288,-0.0296049109830359,0.071629188748105
"Bubulcus ibis",0,14,NA,1,1.8367388172492,2.28258155224339,0.593140836060393,2.0526422895394,0.271880832876493,3.29185918660284,0.355879998350933,4.99078709858425,-0.514460102655832,-0.0555340424477175,3.0926851688874,0.392752758089187,-0.641474868542092,-0.148345233016951
"Butorides striata",1,0,1,NA,1.38440518583218,2.68645689280426,0.736702129553828,1.0322644219769,-0.262104794094709,1.44754611456981,0.278230079739572,3.39437818915849,-1.07936645065146,-1.44903924755901,2.11957425175072,-0.0375949986628864,0.404763633823815,0.0259348102365229
