"","Species","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1","Accipiter striatus",2.02657289310819,0.127650044748073,1.27459121320093,0.322872351319991,0.267977219341808,-0.248945907089453,0.404838400184992
"2","Acropternis orthonyx",0.639656110056591,1.37202731280073,0.0155545512913138,0.412557152516912,-0.303493236928678,0.387082786611536,0.324174742769193
"3","Adelomyia melanogenys",-2.34524420361331,-1.92869952240284,0.191084876322729,0.151103762807887,0.117785473492962,-0.277961275309061,0.135135340374292
"4","Aeronautes montivagus",-1.67162595706441,-2.13759156063172,1.33038002334212,0.0390756440575047,0.744450450047497,0.434746810494516,0.281174549926232
"5","Aglaiocercus kingii",-2.19854633472058,-2.14768377113039,0.216880874050005,0.16352649442024,-0.0542153738451632,-0.314220016154935,0.127955170579159
"6","Amazona mercenarius",2.70295147592896,-0.875599623654151,-0.631802874020265,-0.982132063439716,1.53937928416148,0.663666349069883,-0.156246755261054
"7","Amblycercus holosericeus",0.891064212946647,0.796018269452022,-0.534427308496891,0.0515074831563086,-0.260976263938096,0.144588140033113,0.239661633159013
"8","Ampelion rubrocristatus",0.303271943554593,0.15123584241789,0.196868804991727,-0.0347972319353243,0.110553045205153,0.416602265060543,0.200031793980025
"9","Anabacerthia striaticollis",-0.580979829462689,0.47088493031984,0.0531281843485071,-0.0338439876997412,-0.261461407306291,0.236592347143995,-0.113713330368049
"10","Andigena hypoglauca",5.9304415074065,-0.7890447384089,-4.21155110546546,-0.986762964302438,0.287590547516536,-1.01985693719478,0.0543894817862717
"11","Andigena nigrirostris",6.15563099829837,-0.840228082413719,-4.19583950162759,-1.44820967036001,0.451560986468509,-1.18209705925004,0.203450282461518
"12","Anisognathus igniventris",-0.250135656612257,0.704915499663131,0.121103784152013,-0.138266821342079,0.143505555261443,0.0655502097584099,0.0961558852970794
"13","Anisognathus lacrymosus",-0.271982783548666,0.709709765400059,0.116791913594404,-0.120998156443558,0.106021989025143,0.0334227269959596,0.0361848516090493
"14","Anisognathus somptuosus",-0.0323458258651454,0.370435059792039,-0.0776473098066318,-0.0284196488947064,0.171443278785035,0.199621265509925,0.186733884388498
"15","Anthocephala berlepschi",-2.62130215361847,-2.19961665602963,0.277585767169559,0.328298973712859,-0.0678045621701955,-0.237181681737498,0.100549936796251
"16","Arremon assimilis",0.116176823268718,1.0845893415524,-0.179234304234862,-0.190788268483967,-0.0269032744421979,-0.00133243034702837,0.0865314689434795
"17","Arremon brunneinucha",0.16154772645291,1.08618392154212,-0.187914829532134,-0.108705834467041,-0.0623823815628916,0.0447772054181365,0.174901801015597
"18","Asio stygius",4.24198591250942,-1.40821155151733,1.03058675309641,0.237108482562613,0.206904073538206,0.768320491136415,-0.560387014677367
"19","Atlapetes albinucha",-0.0274721577965596,1.07588106086092,-0.214135337960282,-0.292787549811832,0.0241110161882171,-0.111359202641544,0.151021508585626
"20","Atlapetes flaviceps",-0.589994478354074,1.06739044271233,0.00811822354628602,0.0410826558429397,0.0584484493102081,0.237833137501896,0.120182396920515
"21","Atlapetes pallidinucha",-0.121157665269229,1.01812898190315,0.0156219371997179,-0.00632242138466034,-0.019734753679333,-0.0545241502919745,0.189390746796778
"22","Atlapetes schistaceus",-0.371530121109374,0.951633906878321,0.10428856052476,-0.250533673854125,-0.096512219063995,-0.0192852138667462,0.0850718676520177
"23","Aulacorhynchus albivitta",3.8614452178113,-0.342467826578992,-3.33778088423583,-0.946912742453815,0.688517908438985,-0.568534093534629,0.260020033302545
"24","Boissonneaua flavescens",-1.85936751657392,-2.07592051063513,0.279480836264513,0.14679207259521,0.0413443207928806,-0.0101080367598138,0.124221951387606
"25","Bubulcus ibis",4.24797473465116,-0.370983257298169,-0.353736649510208,2.76378268426121,0.0969860270619199,-0.244909901138113,0.218974835486866
"26","Buteo platypterus",4.03045793132064,-0.596426802815855,1.38359047442423,0.00966955983807692,0.513016116226704,0.0174288145332716,0.0801114410270201
"27","Buthraupis montana",0.965119810662772,0.345100669600455,0.105560728401002,0.00981202026719903,0.373971311694509,0.166910777010097,0.22921442188041
"28","Butorides striata",2.88998539896592,-0.842455388101023,-1.76828741585766,1.88934804919287,-0.0779524750799877,0.314354578585369,0.106138485929462
"29","Cacicus chrysonotus",1.37361788244315,0.285481253906038,0.104798096119211,-0.120477944561526,-0.391496460938451,0.186881486763789,-0.00875313453254706
"30","Campephilus pollens",2.79156208181319,-0.164530202158338,-1.19547984212676,-0.22603148879151,-0.059754202770232,0.370953785899883,-0.176577658309245
"31","Camptostoma obsoletum",-1.83491197314327,0.682157633171848,-0.0412579846098282,-0.131118019146874,0.0255426339624346,-0.0979861154582201,-0.303098094006943
"32","Caracara plancus",6.62387148936747,-0.175376479681801,1.29923893091414,0.902057842229305,0.610397378817318,-0.501282458124433,-0.397563718360758
"33","Catamblyrhynchus diadema",-0.973887668446365,0.966468041766047,0.0720723953158499,-0.319343615988041,-0.0110951104197951,-0.230952560660642,-0.121979388809685
"34","Catamenia homochroa",-1.14229892043654,0.762567212945679,-0.000905617565769484,-0.171430783504939,0.101601295496914,-0.256593856865609,-0.144161173678506
"35","Catharus ustulatus",-0.355010248359321,0.00815212886592515,0.55148834699252,0.294746901392192,0.283432465141178,-0.113304514540412,0.31045983700935
"36","Chaetocercus mulsant",-2.73484405788861,-2.27024482600574,0.0824439746505019,0.454792400319507,0.0078240909057663,-0.243498929686833,0.222948284005366
"37","Chamaepetes goudotii",4.97975951343052,0.923773082798934,1.33174598408471,0.139939662092039,-1.07283102758481,-0.0250146530024714,0.294589822491838
