Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Amaurolimnas concolor,11,Rallidae,Gruiformes,AVIBASE-C25C4DCB,0,1,1,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2,4,28.6,15.5,3.5,6.6,39.1,123.8,33.5,90.2,27.1,47.8,133,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Omnivore,Terrestrial,
Amazilia tzacatl,12,Trochilidae,Caprimulgiformes,AVIBASE-7739D5A5,39,5,4,16,,,C,0,1,,1,B,,,,,,1,22,,,C,,,,,,,,,,,106,4,33,69,4,22.1,18.9,3.1,2.4,5.7,56.4,34.4,21.3,61.7,34.2,4.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Amazona amazonica,13,Psittacidae,Psittaciformes,AVIBASE-0F2066D5,5,0,,,,,,,,,,,,,,,,0,1,,1,B,0,4,,1,B,,,,,,9,3,5,1,4,37.1,29.6,18.4,29.1,21.4,202.2,56.9,144.8,28.2,99.2,370,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,
Amazona farinosa,14,Psittacidae,Psittaciformes,AVIBASE-A05EF311,7,0,0,1,,1,B,,,,,,,,,,,0,6,,1,B,,,,,,,,,,,15,7,6,2,10,43.3,35.7,20.4,36.2,26.9,241.9,69.3,173.1,28.6,134,626,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,
Amazona mercenarius,15,Psittacidae,Psittaciformes,AVIBASE-CED01CA4,2,6,,,,,,4,0,1,,A,2,2,,,C,,,,,,,,,,,,,,,,11,3,7,1,6,32.6,27,15.3,26.1,20.8,214,69.3,144.8,32.4,100.8,340,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Amazona ochrocephala,16,Psittacidae,Psittaciformes,AVIBASE-45BCA1AA,32,2,,,,,,,,,,,,,,,,2,32,,,C,,,,,,,,,,,9,4,2,3,4,38.3,32.6,19.7,32.9,22,212.9,60.8,154.8,28.3,116.5,476.9,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,
Amblycercus holosericeus,17,Icteridae,Passeriformes,AVIBASE-8DAADD7F,6,3,1,0,1,,A,,,,,,1,1,,,C,,,,,,,,,,,1,5,,,C,27,4,10,13,9,30.3,21.3,7,9.8,31.5,94.6,9.7,82.4,10.6,97.5,70.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Ammodramus aurifrons,18,Passerellidae,Passeriformes,AVIBASE-02E3ACBD,47,11,,,,,,,,,,,,,,,,,,,,,11,47,,,C,,,,,,9,4,5,0,4,14,8.6,4.2,5.4,21.7,58.3,5.7,52.5,9.7,47,17.8,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Granivore,Terrestrial,
Ampelion rubrocristatus,19,Cotingidae,Passeriformes,AVIBASE-C5B2624D,11,8,,,,,,,,,,,6,11,,,C,,,,,,,,,,,2,0,1,,A,17,6,10,1,4,20.5,9.2,5.6,6.8,24.9,113.3,27.8,85.8,24.5,86.2,66.3,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,
Anabacerthia ruficaudata,20,Furnariidae,Passeriformes,AVIBASE-861926AE,0,2,,,,,,,,,,,,,,,,,,,,,2,0,1,,A,,,,,,9,2,7,0,4,18.1,10.8,4,5.5,19.3,90.2,16.4,73.7,18.2,74.1,30.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Anabacerthia striaticollis,21,Furnariidae,Passeriformes,AVIBASE-A499C7BE,6,15,,,,,,12,1,,,C,0,4,,1,B,,,,,,,,,,,3,1,,,C,27,6,13,8,4,18.6,10.2,3.8,5.4,20,87.3,15.8,71.7,18,76.1,24.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Anabazenops dorsalis,22,Furnariidae,Passeriformes,AVIBASE-B76C2D94,0,3,,,,,,,,,,,,,,,,,,,,,3,0,1,,A,,,,,,5,1,3,1,1,23.4,14.9,5,7.5,23.5,92.7,12.8,79.9,13.9,77,35.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Ancistrops strigilatus,23,Furnariidae,Passeriformes,AVIBASE-21CFD0C9,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,13,6,6,1,4,23.1,14.2,5.2,7.1,23.1,92.8,17,76.7,18.1,72.5,35.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Andigena hypoglauca,24,Ramphastidae,Piciformes,AVIBASE-B02554D8,5,2,,,,,,,,,,,2,5,,,C,,,,,,,,,,,,,,,,11,3,4,4,4,91.2,80.7,25.9,29,41,171,18.1,152,10.7,170,312.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Andigena nigrirostris,25,Ramphastidae,Piciformes,AVIBASE-64516AE0,22,3,,,,,,,,,,,3,22,,,C,,,,,,,,,,,,,,,,12,6,6,0,4,88.5,80.7,27.7,30.9,40.1,167.3,19.4,142.4,12,185.3,350,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Androdon aequatorialis,26,Trochilidae,Caprimulgiformes,AVIBASE-E82816C6,12,10,10,12,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,0,4,39.9,35.5,3.1,3.2,5.7,68,40.9,26.1,61.1,41.4,7.3,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Anhima cornuta,27,Anhimidae,Anseriformes,AVIBASE-71BA40DC,6,0,,,,,,,,,,,,,,,,,,,,,0,6,,1,B,,,,,,9,4,2,3,4,45,22,11.6,13.9,108.3,553.1,181.1,370.5,32.9,253.4,3150,Dunning,NA,NO,NA,NA,Wetland,3,1,Herbivore,Herbivore aquatic,Terrestrial,
Anisognathus igniventris,28,Thraupidae,Passeriformes,AVIBASE-9FCCD579,69,4,,,,,,,,,,,0,30,,1,B,,,,,,,,,,,4,39,,,C,67,15,23,29,31,14.8,8.1,5.5,6.7,25.1,87.9,14.8,73,16.8,75.3,34,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,
Anisognathus lacrymosus,29,Thraupidae,Passeriformes,AVIBASE-11BC1FFE,30,14,,,,,,,,,,,14,30,,,C,,,,,,,,,,,,,,,,13,5,6,2,4,15.1,8.1,5.4,6.3,25.1,89.5,14.6,74.1,16.4,75.5,31,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Anisognathus somptuosus,30,Thraupidae,Passeriformes,AVIBASE-1F7275CB,21,21,,,,,,16,6,,,C,1,15,,,C,,,,,,,,,,,4,0,1,,A,16,5,8,3,4,20,10.8,5.9,7.8,24.5,91.9,19.1,71.9,21,72.9,44.5,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,
Anthocephala berlepschi,31,Trochilidae,Caprimulgiformes,AVIBASE-C072BD0D,12,1,,,,,,0,7,,1,B,1,5,,,C,,,,,,,,,,,,,,,,6,2,3,1,5,19.2,16.9,1.3,1.1,4.4,51.4,33,18.2,64.5,32.6,3.9,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Anthracothorax nigricollis,32,Trochilidae,Caprimulgiformes,AVIBASE-36FEAD7A,2,1,,,,,,0,1,,1,B,,,,,,1,0,1,,A,0,1,,1,B,,,,,,27,10,13,4,6,25.7,20.8,2.4,2.4,4.5,66.3,41.2,23,64.1,37.2,7,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Nectarivore,Aerial,
Anurolimnas castaneiceps,33,Rallidae,Gruiformes,AVIBASE-2A9074F9,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,5,2,0,3,4,26.5,12.1,4.6,6.7,51.9,110.6,9.8,99.2,9,26.6,126,Dunning,NA,NO,NA,NA,Human Modified,1,1,Carnivore,Invertivore,Terrestrial,
Anurolimnas fasciatus,34,Rallidae,Gruiformes,AVIBASE-BE9214E6,0,2,,,,,,,,,,,,,,,,,,,,,2,0,1,,A,,,,,,4,1,2,1,4,19.5,10.7,3.7,5.8,38.3,91.8,12.1,79.7,13.2,26.5,69,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Carnivore,Aquatic predator,Terrestrial,
Ara severus,35,Psittacidae,Psittaciformes,AVIBASE-25BE1729,15,2,,,,,,,,,,,,,,,,,,,,,2,15,,,C,,,,,,15,4,7,4,8,39.7,36.1,20.5,36.9,20.7,239.4,86.3,153.3,35.9,242.6,343,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,
