Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Amazilia tzacatl;13;Trochilidae;Caprimulgiformes;AVIBASE-7739D5A5;43;6;0;3;;;;1;B;4;16;16;;;;C;C;0;1;;;;1;B;;;;;;;;1;22;22;;;;C;;;;;;;;1;1;1;3;;;C;106;4;33;69;4;22.1;18.9;3.1;2.4;5.7;56.4;34.4;21.3;61.7;34.2;4.8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0;0
Amazona amazonica;14;Psittacidae;Psittaciformes;AVIBASE-0F2066D5;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;0;4;;;;1;B;;;;;;;;9;3;5;1;4;37.1;29.6;18.4;29.1;21.4;202.2;56.9;144.8;28.2;99.2;370;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;0;0
Amazona farinosa;15;Psittacidae;Psittaciformes;AVIBASE-A05EF311;7;0;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;0;6;;;;1;B;;;;;;;;;;;;;;;15;7;6;2;10;43.3;35.7;20.4;36.2;26.9;241.9;69.3;173.1;28.6;134;626;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;0;0
Amazona mercenarius;16;Psittacidae;Psittaciformes;AVIBASE-CED01CA4;5;6;0;2;;;;1;B;;;;;;;;;4;1;1;3;;;C;2;2;2;;;;C;;;;;;;;;;;;;;;;;;;;;;11;3;7;1;6;32.6;27;15.3;26.1;20.8;214;69.3;144.8;32.4;100.8;340;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Amazona ochrocephala;17;Psittacidae;Psittaciformes;AVIBASE-45BCA1AA;32;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;32;32;;;;C;;;;;;;;;;;;;;;9;4;2;3;4;38.3;32.6;19.7;32.9;22;212.9;60.8;154.8;28.3;116.5;476.9;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Omnivore;Insessorial;0;0
Amblycercus holosericeus;18;Icteridae;Passeriformes;AVIBASE-8DAADD7F;6;3;;;;;;;;1;0;;1;1;;A;A;;;;;;;;1;1;1;;;;C;;;;;;;;;;;;;;;1;5;5;;;;C;27;4;10;13;9;30.3;21.3;7;9.8;31.5;94.6;9.7;82.4;10.6;97.5;70.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Ammodramus aurifrons;19;Passerellidae;Passeriformes;AVIBASE-02E3ACBD;47;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;47;47;;;;C;;;;;;;;9;4;5;0;4;14;8.6;4.2;5.4;21.7;58.3;5.7;52.5;9.7;47;17.8;Dunning;NA;NO;NA;NA;Shrubland;3;1;Herbivore;Granivore;Terrestrial;0;0
Ampelioides tschudii;20;Cotingidae;Passeriformes;AVIBASE-4D9E317C;0;1;1;0;;1;1;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;4;7;0;4;22.6;10.8;7.1;6.2;20.8;100.5;23.9;76.2;23.9;65.5;78.4;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;1;1
Ampelion rubrocristatus;21;Cotingidae;Passeriformes;AVIBASE-C5B2624D;12;8;;;;;;;;;;;;;;;;;;;;;;;6;11;11;;;;C;;;;;;;;;;;;;;;2;1;1;3;;;C;17;6;10;1;4;20.5;9.2;5.6;6.8;24.9;113.3;27.8;85.8;24.5;86.2;66.3;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;0;0
Anabacerthia ruficaudata;22;Furnariidae;Passeriformes;AVIBASE-861926AE;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;1;1;;A;;;;;;;;9;2;7;0;4;18.1;10.8;4;5.5;19.3;90.2;16.4;73.7;18.2;74.1;30.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
