Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Coeligena torquata;185;Trochilidae;Caprimulgiformes;AVIBASE-C108D081;49;16;;;;;;;;;;;;;;;;0;8;;;;1;B;2;19;19;;;;C;;;;;;;;;;;;;;;14;22;22;;;;C;47;18;26;3;15;39.4;34.3;2.4;2.4;5.2;73.8;46.6;27.8;62.7;46;6.7;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0;0
Coereba flaveola;186;Thraupidae;Passeriformes;AVIBASE-B78F2D6F;50;11;1;2;2;;;;C;0;22;;;;1;B;B;6;17;17;;;;C;0;1;;;;1;B;4;8;8;;;;C;;;;;;;;;;;;;;;111;17;34;60;12;13.2;9.9;3.6;3.9;16.9;54.6;11;45.9;19.2;34.1;10;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Nectarivore;Insessorial;0;0
Colaptes punctigula;187;Picidae;Piciformes;AVIBASE-897E43C8;10;1;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;0;6;;;;1;B;1;2;2;;;;C;;;;;;;;16;4;8;4;7;24.9;17.4;7;7.4;21.2;108.1;19.6;85.5;18.6;68.9;62;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Colaptes rivolii;188;Picidae;Piciformes;AVIBASE-8947FC53;32;4;;;;;;;;;;;;;;;;;;;;;;;1;31;31;;;;C;;;;;;;;;;;;;;;3;1;1;;;;C;20;8;10;2;6;32.6;23;8.8;8;24.8;129.5;26.3;102.1;20.5;102.2;102;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Colaptes rubiginosus;189;Picidae;Piciformes;AVIBASE-1161239F;9;5;4;3;3;;;;C;;;;;;;;;1;1;1;;;;C;0;5;;;;1;B;;;;;;;;;;;;;;;;;;;;;;28;15;12;1;10;27.1;18.7;7;7.2;22.5;125.1;29.3;97;23.2;78.7;55.8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Colibri coruscans;190;Trochilidae;Caprimulgiformes;AVIBASE-51F7C361;9;0;;;;;;;;;;;;;;;;0;2;;;;1;B;0;7;;;;1;B;;;;;;;;;;;;;;;;;;;;;;28;4;5;19;10;29.1;22.4;2.9;2.5;5.6;75.4;47.5;28.5;62.5;51.4;6.7;Dunning;NA;NO;NA;NA;Human Modified;2;1;Herbivore;Nectarivore;Aerial;0;0
Colibri cyanotus;191;Trochilidae;Caprimulgiformes;AVIBASE-94CB63F7;122;9;0;1;;;;1;B;;;;;;;;;0;1;;;;1;B;9;79;79;;;;C;;;;;;;;;;;;;;;0;41;;;;1;B;17;6;6;5;3;23.7;16.8;2.2;2;5.5;62.5;38.4;23.5;61.8;42;5.9;DataFromSplit;NA;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Aerial;0;0
Colibri delphinae;192;Trochilidae;Caprimulgiformes;AVIBASE-A76C26A1;10;1;1;1;1;3;;;C;;;;;;;;;0;9;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;5;0;4;19;14.8;1.8;2.2;5.3;67.9;43.4;24.5;63.8;41.1;6.4;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0;0
Colinus cristatus;193;Odontophoridae;Galliformes;AVIBASE-C5B72F4E;3;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2;2;;;;C;;;;;;;;1;1;1;3;;;C;18;9;8;1;10;14.5;8.8;6.2;7.8;27.9;100.7;25.5;74.3;25.7;56;134.5;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Omnivore;Terrestrial;0;0
Colonia colonus;194;Tyrannidae;Passeriformes;AVIBASE-3EB54C47;9;8;;;;;;;;5;8;8;;;;C;C;;;;;;;;;;;;;;;3;1;1;;;;C;;;;;;;;;;;;;;;10;5;4;1;4;12.4;6.2;5.3;3.4;15.1;80.8;15;65;18.9;159.7;18.3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Columbina minuta;195;Columbidae;Columbiformes;AVIBASE-37691FA2;2;0;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;26;7;9;10;4;12.4;7.1;2.4;3;15.5;76;14.8;64.6;18.7;52.4;32.6;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Terrestrial;0;0
Columbina passerina;196;Columbidae;Columbiformes;AVIBASE-F9AED548;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;6;6;;;;C;;;;;;;;;;;;;;;18;10;7;1;4;13.9;8.2;2.5;3.2;15.2;81.6;21.6;63.6;25.4;59.6;35.4;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Omnivore;Terrestrial;0;0
Columbina talpacoti;197;Columbidae;Columbiformes;AVIBASE-ADD11A5F;73;7;7;2;2;;;;C;;;;;;;;;0;1;;;;1;B;;;;;;;;0;62;;;;1;B;0;8;;;;1;B;;;;;;;;66;15;32;19;4;14.2;8.3;3.1;3.6;16.4;86.8;17.7;70.1;19.9;65.8;46;Dunning;NA;NO;NA;NA;Human Modified;3;2;Herbivore;Granivore;Terrestrial;0;0
Conirostrum albifrons;198;Thraupidae;Passeriformes;AVIBASE-6FA6ED40;15;8;;;;;;;;;;;;;;;;;;;;;;;1;14;14;;;;C;;;;;;;;;;;;;;;7;1;1;;;;C;15;4;11;0;6;15.4;8.4;3.1;3.8;16.5;71;15.3;55.1;21.7;57.3;14.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Conirostrum leucogenys;199;Thraupidae;Passeriformes;AVIBASE-5198F288;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;5;;;;C;;;;;;;;1;1;1;3;;;C;4;0;4;0;3;11.1;6.9;2.9;3;14.1;53.8;11.9;41.9;22.1;32.5;7;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Invertivore;Insessorial;0;0
Conirostrum rufum;200;Thraupidae;Passeriformes;AVIBASE-1F1C4F93;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;5;;;;C;4;2;1;1;4;13.3;7.4;2.7;3.3;18.8;63.1;10.6;52.6;16.7;54.4;11;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;0;0
Conirostrum sitticolor;201;Thraupidae;Passeriformes;AVIBASE-EF7A9538;11;12;;;;;;;;;;;;;;;;;;;;;;;8;7;7;;;;C;;;;;;;;;;;;;;;4;4;4;;;;C;22;8;8;6;6;14.2;7.7;2.8;3.8;17.7;66.9;13.9;53.1;20.7;55.6;11.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Conopias cinchoneti;202;Tyrannidae;Passeriformes;AVIBASE-C5202F83;0;2;1;0;;2;1;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;;A;6;2;2;2;4;20;11.8;6.7;5.5;17.4;83.4;16.2;67.2;19.4;66.9;25;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;1;2
Conopophaga aurita;203;Conopophagidae;Passeriformes;AVIBASE-2EBD6D07;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;1;1;;A;;;;;;;;6;2;4;0;4;15.6;9.3;5.8;4.4;27.2;67.7;9.6;58;14.2;32.5;26.3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Conopophaga castaneiceps;204;Conopophagidae;Passeriformes;AVIBASE-E0994940;0;5;;;;;;;;;;;;;;;;5;0;;2;1;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;3;0;4;20.9;9.6;5.9;4.4;29.1;74.4;8.8;65.4;11.8;42.1;27;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Contopus cinereus;205;Tyrannidae;Passeriformes;AVIBASE-ED18DC0C;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;C;;;;;;;;;;;;;;;24;10;11;3;12;15.2;9.3;6.3;3.6;13.1;70.3;16.4;53.5;23.4;60.4;11.6;Dunning;NA;NO;NA;NA;Forest;2;2;Carnivore;Invertivore;Insessorial;0;0
Contopus cooperi;206;Tyrannidae;Passeriformes;AVIBASE-951C150C;1;0;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;4;1;4;19.9;12.2;8.5;6.5;14.7;104.7;38.5;63.2;37.9;68.8;32.1;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;0;0
Contopus fumigatus;207;Tyrannidae;Passeriformes;AVIBASE-ECF2FBB2;12;17;1;1;1;3;;;C;;;;;;;;;6;2;2;;;;C;1;8;8;;;;C;;;;;;;;;;;;;;;9;1;1;3;;;C;13;5;7;1;5;20.2;11.7;7;5;15.5;92.6;25.7;66.5;27.9;80;19.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Contopus sordidulus;208;Tyrannidae;Passeriformes;AVIBASE-F6CA75F0;2;1;;;;;;;;0;1;;;;1;B;B;1;1;1;3;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;5;5;4;4;16.4;9.2;6.4;4.1;13.8;82.6;29;57.7;33.5;60.2;13.1;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;0;0
Contopus virens;209;Tyrannidae;Passeriformes;AVIBASE-9891BF73;4;1;;;;;;;;0;1;;;;1;B;B;1;1;1;;;;C;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;19;3;7;9;4;14.3;10;6.3;4;14.2;81;25.6;57;31;62.7;13.9;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;0;0
Coragyps atratus;210;Cathartidae;Cathartiformes;AVIBASE-4FF7DE80;100;0;0;2;;;;1;B;0;51;;;;1;B;B;0;1;;;;1;B;0;22;;;;1;B;0;11;;;;1;B;0;13;;;;1;B;;;;;;;;8;0;3;5;4;60;35;14.8;16.1;76.1;410.1;58.4;352.6;14.3;180;1881.7;Dunning;NA;NO;NA;NA;Human Modified;3;2;Omnivore;Scavenger;Terrestrial;0;0
Corapipo leucorrhoa;211;Pipridae;Passeriformes;AVIBASE-AE0C6B0E;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;C;;;;;;;;;;;;;;;1;0;1;0;0;10.2;5.6;3.2;3.5;14.9;58;11;47.3;18.8;35;11.7;Dunning;NA;YES;Beak Nares;;;;;;;;0;0
Coryphospingus pileatus;212;Thraupidae;Passeriformes;AVIBASE-FBCA67B2;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;;;;1;B;;;;;;;;;;;;;;;76;30;46;0;3;11.9;9.2;4.6;6.7;17.1;63.7;11.7;52;18.4;57.3;15.3;Dunning;NA;NO;NA;NA;Shrubland;1;1;Omnivore;Omnivore;Terrestrial;0;0
Cotinga nattererii;213;Cotingidae;Passeriformes;AVIBASE-206E4EAA;1;3;;;;;;;;3;1;1;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;0;0;4;18.1;10.2;6;5.7;22.5;111.8;27.7;84.1;24.8;76.8;57.2;Inferred;NA;YES;Body Mass;Cotinga ridgwayi;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Cranioleuca curtata;214;Furnariidae;Passeriformes;AVIBASE-CCD30843;6;5;;;;;;;;;;;;;;;;2;5;5;;;;C;;;;;;;;;;;;;;;;;;;;;;3;1;1;;;;C;13;1;10;2;3;14.7;8.8;3.1;3.7;17.7;63.8;11.1;52.8;17.4;71.8;17.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Cranioleuca erythrops;215;Furnariidae;Passeriformes;AVIBASE-6D00ECAF;4;0;0;4;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;5;15;0;4;14.6;9.5;3.2;3.7;18.6;64.8;11;55.2;16.6;71.4;16.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Creurgops verticalis;216;Thraupidae;Passeriformes;AVIBASE-500BA227;4;12;;;;;;;;;;;;;;;;12;1;1;3;;;C;0;3;;;;1;B;;;;;;;;;;;;;;;;;;;;;;6;3;3;0;4;19.8;9.2;5.5;6.4;19.3;77.7;14.5;63.2;18.6;68.8;24;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Crotophaga ani;217;Cuculidae;Cuculiformes;AVIBASE-469BC7B8;123;8;2;1;1;;;;C;2;4;4;;;;C;C;1;3;3;;;;C;;;;;;;;0;34;;;;1;B;2;80;80;;;;C;1;1;1;3;;;C;22;9;7;6;8;30.6;18.4;9.9;21.1;35.8;144;35.5;107.3;24.8;180.6;110.1;Dunning;NA;NO;NA;NA;Human Modified;3;1;Carnivore;Omnivore;Insessorial;0;0
Crotophaga major;218;Cuculidae;Cuculiformes;AVIBASE-0DD11B75;22;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;21;21;;;;C;0;1;;;;1;B;;;;;;;;10;3;4;3;8;47.2;32.8;13.7;21.5;41;193.6;46;147.8;23.7;252.2;148.3;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Crotophaga sulcirostris;219;Cuculidae;Cuculiformes;AVIBASE-C5B34740;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;1;B;;;;;;;;;;;;;;;15;5;4;6;4;26.9;17.7;9.5;16.5;33.8;129.3;24.8;103;19.3;162.7;82;Dunning;NA;NO;NA;NA;Human Modified;3;1;Carnivore;Invertivore;Terrestrial;0;0
Cryptoleucopteryx plumbea;220;Accipitridae;Accipitriformes;AVIBASE-A6775D0C;0;1;;;;;;;;1;0;;2;1;;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;3;0;4;32.1;21;11.2;16.7;58.9;238;74.2;164.8;31;145.4;482;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Vertivore;Insessorial;1;1
Cryptopipo holochlora;221;Pipridae;Passeriformes;AVIBASE-B829B8FF;2;3;;;;;;;;2;2;2;;;;C;C;;;;;;;;;;;;;;;;;;;;;;1;0;;2;1;;A;;;;;;;;11;5;6;0;8;14.1;7.4;4;4.1;14.9;71;14.3;56.8;20.1;45.2;14.9;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;1;1
Crypturellus berlepschi;222;Tinamidae;Tinamiformes;AVIBASE-9B036853;0;1;;;;;;;;1;0;;2;1;;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;1;2;4;27.9;10.5;5.3;6.5;53.4;164.6;38.1;126.5;23.3;54.2;516.8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Terrestrial;1;1
Crypturellus cinereus;223;Tinamidae;Tinamiformes;AVIBASE-7C90F8DB;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;8;;;;1;B;;;;;;;;8;3;5;0;3;31;10.4;5.2;5.4;49.8;162.4;30.1;132;18.7;55.9;506.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Terrestrial;0;0
Crypturellus soui;224;Tinamidae;Tinamiformes;AVIBASE-39DD9DD7;12;0;0;2;;;;1;B;0;4;;;;1;B;B;;;;;;;;;;;;;;;0;5;;;;1;B;0;1;;;;1;B;;;;;;;;18;8;7;3;5;24.2;8;4.2;3.9;36.4;127.5;32.9;96.4;25.4;47.9;216.2;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Terrestrial;0;0
Cyanerpes caeruleus;225;Thraupidae;Passeriformes;AVIBASE-A0A7D1B2;39;0;;;;;;;;0;10;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;0;29;;;;1;B;;;;;;;;16;6;10;0;4;19.5;14.7;3.4;3.3;13.8;56.7;14.4;42.4;25.5;32.1;12;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Cyanerpes cyaneus;226;Thraupidae;Passeriformes;AVIBASE-5A126D27;2;19;;;;;;;;19;2;2;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;8;8;1;8;19.4;12.8;3.8;3.6;13.7;60.9;15.7;44.5;26;34.8;14;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Cyanocorax affinis;227;Corvidae;Passeriformes;AVIBASE-C63A2BBF;37;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;37;37;;;;C;;;;;;;;;;;;;;;10;2;8;0;4;38.4;23.1;12.2;13.5;50.1;167.8;17.1;150.7;10.2;160;212;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;0;0
Cyanocorax violaceus;228;Corvidae;Passeriformes;AVIBASE-6D69986E;56;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;56;56;;;;C;;;;;;;;12;3;8;1;4;39;24.9;12.6;14.6;48;193.6;28.5;165;14.8;163.8;262;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;0;0
Cyanocorax yncas;229;Corvidae;Passeriformes;AVIBASE-361B447A;169;15;5;2;2;;;;C;;;;;;;;;7;75;75;;;;C;0;86;;;;1;B;;;;;;;;;;;;;;;3;6;6;;;;C;30;9;20;1;8;29.6;16.2;9.3;9.9;38.7;121.5;9.5;112.4;7.8;139.3;78.5;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Insessorial;0;0
Cyanoloxia cyanoides;230;Cardinalidae;Passeriformes;AVIBASE-BD833C24;10;0;;;;;;;;0;8;;;;1;B;B;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;35;13;21;1;6;19.6;14.9;10.2;13.9;21.1;79.6;10.8;67.2;13.8;66.8;32.5;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Granivore;Insessorial;0;0
Cyanolyca armillata;231;Corvidae;Passeriformes;AVIBASE-423B3BE4;24;11;;;;;;;;;;;;;;;;;;;;;;;11;24;24;;;;C;;;;;;;;;;;;;;;;;;;;;;11;1;8;2;4;29.5;16.2;9.2;10.3;40.9;137.6;11.8;125.1;8.7;164.2;200;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Cyclarhis gujanensis;232;Vireonidae;Passeriformes;AVIBASE-8776BD04;35;2;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;2;34;34;;;;C;;;;;;;;;;;;;;;69;17;40;12;4;18;11.1;5.8;9.2;22.8;76.2;11.2;64.9;14.8;64.1;28.8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Cyclarhis nigrirostris;233;Vireonidae;Passeriformes;AVIBASE-444E5987;8;4;1;1;1;;;;C;;;;;;;;;1;2;2;;;;C;1;4;4;;;;C;;;;;;;;;;;;;;;1;1;1;3;;;C;16;4;7;5;4;18.6;10.7;5.3;7.3;22.6;76.7;10.4;66.2;13.5;62.6;31.9;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Cymbilaimus lineatus;234;Thamnophilidae;Passeriformes;AVIBASE-86C7F489;0;8;;;;;;;;6;0;;1;1;;A;A;;;;;;;;;;;;;;;;;;;;;;2;0;;1;1;;A;;;;;;;;9;3;6;0;4;24.7;14.6;8.5;8.9;25.8;75.8;7.7;68.9;10.1;71.5;35.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;2
Cyphorhinus arada;235;Troglodytidae;Passeriformes;AVIBASE-FAF1A289;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;1;1;;A;;;;;;;;20;2;9;9;4;17.7;12.4;3.6;5;24;64.4;6.5;57;10.1;39;20.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;1;1
Cyphorhinus phaeocephalus;236;Troglodytidae;Passeriformes;AVIBASE-AC56BC49;0;1;;;;;;;;1;0;;2;1;;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3;8;14;15;19.5;13.2;3.5;5.3;23.7;63.1;6.7;56.6;10.6;32.6;24.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;1;1
Cypseloides cryptus;237;Apodidae;Caprimulgiformes;AVIBASE-0770CE13;10;0;;;;;;;;0;10;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;1;4;8.6;3.7;3.7;2.4;16;137.2;93.1;44.1;67.8;44.8;34.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;0;0
Dacnis cayana;238;Thraupidae;Passeriformes;AVIBASE-C72B6A62;4;9;;;;;;;;4;4;4;;;;C;C;;;;;;;;;;;;;;;;;;;;;;5;0;;2;1;;A;;;;;;;;30;9;20;1;4;13.7;8;3.7;4.2;15.5;61.8;15.5;47.3;24.7;43.9;13;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;1;1
Dacnis lineata;239;Thraupidae;Passeriformes;AVIBASE-B2FA0B23;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;;;C;5;0;;2;1;;A;;;;;;;;15;7;8;0;9;12.9;7.6;3.4;3.5;14.1;59.5;15.3;43.7;25.9;40.8;11;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;1;1
Dacnis venusta;240;Thraupidae;Passeriformes;AVIBASE-223EB3AD;5;2;;;;;;;;2;5;5;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;7;9;0;4;13.1;8.9;3.8;3.9;14.8;64.6;15.9;44.5;26.3;38.8;16.1;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;0;0
Daptrius ater;241;Falconidae;Falconiformes;AVIBASE-9D271B2D;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7;;;;1;B;;;;;;;;8;4;3;1;6;33.1;21.1;12;15;48.3;310.7;98.5;215.2;31.4;199.4;351.8;Dunning;NA;NO;NA;NA;Forest;2;2;Carnivore;Omnivore;Terrestrial;0;0
Dendrocincla fuliginosa;242;Furnariidae;Passeriformes;AVIBASE-A31278C7;34;2;;;;;;;;1;4;4;;;;C;C;;;;;;;;;;;;;;;1;10;10;;;;C;0;20;;;;1;B;;;;;;;;44;8;17;19;11;29.9;20;6.4;6.6;24.7;104.9;18.9;84.1;18.3;86.7;38.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Dendrocincla tyrannina;243;Furnariidae;Passeriformes;AVIBASE-871963BC;8;3;;;;;;;;;;;;;;;;0;1;;;;1;B;3;7;7;;;;C;;;;;;;;;;;;;;;;;;;;;;24;2;5;17;4;35.8;23;7.5;7.9;25.4;122.3;22.1;101.2;17.9;121.1;54.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Dendrocolaptes certhia;244;Dendrocolaptidae;Passeriformes;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;;A;;;;;;;;22;5;16;1;8;41;29.3;9.4;8;27.3;126.9;22.5;104.3;17.7;122.9;68.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Dendrocolaptes picumnus;245;Furnariidae;Passeriformes;AVIBASE-3459505D;4;7;2;1;1;3;;;C;;;;;;;;;3;1;1;3;;;C;;;;;;;;;;;;;;;1;1;1;;;;C;1;1;1;3;;;C;19;5;9;5;4;40.5;28.4;8.3;8.3;28.5;129.6;23.3;108.2;17.7;121.7;76.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Dendrocolaptes sanctithomae;246;Furnariidae;Passeriformes;AVIBASE-89B7BA8E;3;0;;;;;;;;0;3;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3;7;10;2;39.9;27.6;8.9;8.3;29.5;126.1;25.3;101.1;20;114.2;66.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Dendrocygna autumnalis;247;Anatidae;Anseriformes;AVIBASE-C01A22D6;17;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;17;;;;1;B;;;;;;;;;;;;;;;6;2;3;1;4;50.8;34.6;18.3;16.1;52.7;240.8;79.1;163.4;32.7;66;755.3;Dunning;NA;NO;NA;NA;Wetland;3;2;Herbivore;Herbivore terrestrial;Terrestrial;0;0
Dendroplex picus;248;Furnariidae;Passeriformes;AVIBASE-9C163605;22;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;11;11;;;;C;0;11;;;;1;B;;;;;;;;20;7;9;4;4;28.6;22.6;4.8;6.5;20.7;98.2;18;83;17.8;83.4;41.3;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Dichrozona cincta;249;Thamnophilidae;Passeriformes;AVIBASE-4D776E0B;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;2;1;;A;;;;;;;;10;5;4;1;4;17.8;10.7;3.5;3.6;20.9;59.4;6.8;52.8;11.4;26.4;16;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;1;1
