"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Accipiter superciliosus",0,1,NA,1,0.816897620958596,-0.257709866237479,0.122233404722797,0.616899387518275,0.510517828125279,0.83698476188112,0.166198706157618,1.23548601408857,0.137743318145965,1.01411523051342,0.122046981911882,0.0167719355869188,-0.220125059244645,0.264891134761722
"Actitis macularius",5,6,NA,NA,0.159886431085358,0.0981547246229507,-0.817136938031368,-0.0412815883333562,-0.473888746286694,0.0281200414070731,1.5064696498534,-0.536610644025483,-1.22063450555275,0.702176215688955,0.803309330161258,-0.185054114722988,0.20029519102505,0.295916313780505
"Amaurolimnas concolor",1,0,1,NA,1.06003909301998,0.261965409304736,-0.629262869480535,0.293532212425952,-0.573092509599528,0.941156733457323,0.179211045416801,0.669185689353144,0.231772213999317,0.828647834128363,1.41055241725075,-0.0015371742554945,0.354761265763333,0.318726633352302
"Amazilia tzacatl",4,16,NA,NA,-1.44941827200097,-0.105196470154438,-0.723199903755952,-0.670846000017525,-0.832548505956172,-1.10551611986337,2.43034573725535,-2.36970648787988,-2.31595658269603,-0.0563366264737395,0.175583469936262,-0.343912863109863,-0.31450855018677,-0.0470265048355478
"Amazona farinosa",0,1,NA,1,2.23025726867152,1.09231612131241,3.33957682865581,1.9833403265146,1.07140064377861,0.193569643322219,0.276803589860668,4.11166542670842,-0.928571518765715,-0.875091981989707,-0.638408432362187,1.69760368764273,-0.336140483354084,-0.0306160406435374
"Amblycercus holosericeus",1,0,1,NA,0.579444800884616,0.357992362394059,0.192686180429359,-0.124269624418997,0.375066535909678,0.475446742881357,-0.894306943465744,0.911975303975841,0.975260332546992,-0.110240404863071,0.00241862922351069,-0.332390579868733,0.232815416289291,0.315295272635545
"Androdon aequatorialis",10,12,NA,NA,-1.13268267374483,0.900262215133761,-0.723199903755952,-0.504869927846244,-0.695189449061479,-1.10551611986337,2.3913087194778,-1.72955931740649,-2.55838029808361,-0.523630643204328,0.454922083871099,-0.680383862806403,0.233421992340823,-0.136299176430354
"Arremon aurantiirostris",3,5,NA,NA,0.040620624406443,-0.449763772416124,0.0987491461539424,-0.437621002052708,-0.218248279288236,0.107780960847699,-0.848763756058606,-0.235913870801719,1.10286805567796,-0.0521055916480796,-0.0896662091337757,0.105740448340037,-0.126695982916724,0.210351873712663
"Arremonops conirostris",4,0,1,NA,0.0706715397323325,-0.336790886428686,0.00481211187852609,-0.423312719968977,-0.19535510313912,0.267102799728951,-1.05045501457593,-0.105303530616111,1.31467939796702,-0.0353261705172135,0.0212111541650889,-0.0438957902183786,-0.0692845430362254,0.18051388783846
"Attila spadiceus",0,13,NA,1,0.135177155900429,-0.093899181555694,0.263138956135921,-0.253044163172577,-0.191539573780934,0.0710143826443331,-0.621047819022914,0.0505157382977288,0.751993133450649,-0.227975452615536,0.00497972172156873,0.102463377763377,-0.0562431738761435,0.128412469831673
"Automolus subulatus",9,3,NA,NA,-0.0958044470112186,0.092506080323579,-0.37093602522314,-0.327447230007978,-0.16292310359454,-0.223118242982593,-0.347788694580085,-0.412144033945429,0.39435650513478,-0.123807971252309,-0.00451296087501291,-0.256399595915973,0.358605128229038,0.00319011185310884
"Baryphthengus martii",12,12,NA,NA,1.22291485795391,1.43123477927472,1.2964463331655,0.678425000478318,3.2996697889592,0.542852136254194,-0.536467613838229,3.651356387662,-0.0229682856064584,-0.178750319439041,-1.96822984196491,-1.32750313950299,0.456325711227177,0.639279458320168
"Butorides striata",2,1,NA,NA,1.37389018732096,2.61745008214282,0.709339868944149,1.01037714482088,-0.269757925623746,1.42525001313497,0.283309759490259,2.82914436365037,-0.504075827729386,-0.688953897361363,2.06424415556886,-0.574902425205333,0.371726934986155,-0.103946146204152
"Cacicus uropygialis",6,16,NA,NA,0.473644717403519,0.380586939591546,0.192686180429359,0.466662425639098,0.510517828125279,0.352891482203471,-0.126578927173985,1.06699369204276,0.0994564996670096,0.220300494644775,-0.0711229475723377,-0.254723066044781,0.135469649467209,-0.0336049668872941
"Campephilus gayaquilensis",0,2,NA,1,1.50975103617177,1.26177545029356,1.43735188457863,1.07190275778092,0.846284411645642,0.518341084118617,-0.15260360569235,2.81712959051697,-0.206587908355467,-0.435028856640921,-0.0152046872256234,0.25512160996181,0.250388670012622,0.0821582960996514
"Campephilus haematogaster",1,0,1,NA,1.49648027129113,1.3352078261854,1.34341485030321,1.11768926044886,0.615444885475392,0.659279633898185,-0.601529310134141,2.83245264846797,0.249778761636753,-0.510536921112444,0.229160229090457,0.24143834508223,0.317044434217844,-0.105327889556377
"Camptostoma obsoletum",0,5,NA,1,-1.05412195379311,-0.799979718977182,-0.699715645187098,-0.729509956560823,-0.704728272456943,-0.603039551084039,-0.510442935319864,-1.86904386293607,0.738699349521068,-0.0342759383956215,-0.227600338616459,-0.118914481957155,-0.0658370894657756,-0.290093770677994
"Campylorhamphus pusillus",1,0,1,NA,0.161754086572972,1.75320750433892,-0.464873059498556,-0.109961342335266,0.327372418932354,-0.180223901745333,-0.529961444208638,0.613507855693595,0.0995680237802696,-0.861423000525469,0.23075192868117,-1.13942423874522,1.19458029988568,-0.203776355078118
