"Species","FLOR_H","FLOR_M","FLOR_EXT","FLOR_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Accipiter bicolor",1,0,1,NA,1.64240818825763,0.0586142145273474,0.568434317531025,1.8073484568847,2.06916157094424,2.10543170989724,0.0165568046770212,2.58098252287533,0.0285481892593415,1.45974214076914,0.346866465536744,-0.0457363635580117,-0.391288244458492,0.322286181207239
"Actitis macularius",0,1,NA,1,0.159886431085358,0.0981547246229507,-0.817136938031368,-0.0412815883333562,-0.473888746286694,0.0281200414070731,1.5064696498534,-0.722970565453912,-1.7765287171185,0.487363249861662,-0.796848633352615,0.0130133627861556,0.214243602504333,0.365885827724196
"Akletos melanoceps",11,0,1,NA,0.123494455149292,0.0247223487311159,-0.112609180965745,-0.25018250675583,-0.307913219205605,0.506085558050828,-1.05696118420552,-0.42979591178385,1.25035700130679,0.169685896448317,-0.236597854628427,-0.0303579438489722,0.00955968181666239,0.0429223650763925
"Amazona amazonica",0,4,NA,1,1.83299732616918,0.742100174751348,2.86989165727873,1.41530152779047,0.407498535454258,-0.143457323541967,0.250778911342303,2.24635132062292,-0.399630052770246,-1.21564345121709,0.698490359082914,1.60910614817092,0.266256600068311,0.035660347738478
"Ammodramus aurifrons",11,47,NA,NA,-0.459317382585872,-0.562736658403562,-0.464873059498556,-0.643660264058436,-0.588354627032272,-0.125074034440284,-0.952862470132065,-1.43043497144965,1.04139502929427,0.167176967485506,0.00472203566280893,-0.0442475296692812,-0.0353102490549767,-0.0689591490114723
"Anabacerthia ruficaudata",2,0,1,NA,-0.0624507743510548,-0.331142242129314,-0.511841576636265,-0.187226065587414,-0.0713503989980773,-0.272140347253747,-0.399838051616814,-0.9028564003925,0.30717997768242,0.296222977210031,0.158450128549757,-0.172547890659453,0.23095501428524,-0.022371805578965
"Anabazenops dorsalis",3,0,1,NA,0.0600757663219152,-0.0317640942626032,-0.276998990947723,-0.151455360378086,-0.016025223304381,-0.0147742998301869,-0.679603345689235,-0.564460003845773,0.676549280365205,0.15279713996995,0.0639053637999412,-0.197503900864579,0.188241109630672,-0.015507980802584
"Ancistrops strigilatus",3,0,1,NA,0.0706715397323325,-0.0487100271607187,-0.230030473810015,-0.150024532169713,-0.101874633863565,-0.039285351965764,-0.406344221246405,-0.578455947570559,0.373388066448324,0.127749607138585,-0.00558278059777881,-0.0927336666435653,0.158253727906801,0.0338132010795928
"Anhima cornuta",0,6,NA,1,3.45094521231193,1.18834307440173,1.27296207459665,6.43607771097172,3.34927167061562,5.18156875291217,0.556568883933089,7.1095534868915,-0.527811242074706,3.37515132722403,-0.519806984026699,0.446871039808877,-0.584998166200513,-1.03379705528749
"Anthracothorax nigricollis",0,1,NA,1,-1.16438521029096,0.0981547246229507,-0.88758971373793,-0.529194007388587,-0.775315565583383,-1.1790492762701,2.58649380836554,-1.97620634220042,-3.22460451308123,-0.265715574784873,-0.700095770672987,-0.234838704549211,-0.127458976932052,0.0298185324468538
"Anurolimnas castaneiceps",3,0,1,NA,1.01919313157977,0.143343879017926,-0.37093602522314,0.104662888920701,-0.977538621567238,1.72551040179579,-0.998405657539203,0.21450470822066,1.47155144402734,0.887186530474554,-1.21348914994423,0.476183769826476,0.19998026039505,0.356317633532649
"Anurolimnas fasciatus",2,0,1,NA,0.564269932515213,-0.252061221938107,-0.582294352342827,-0.164332814253444,-0.979446386246331,0.892134629186168,-0.725146533096373,-0.547633170554645,1.00415555675416,0.734688547345046,-0.805142260449627,0.385801615441642,0.263923598346625,0.253619957997977
"Ara ararauna",1,0,1,NA,2.67310248201803,2.37455837726983,5.64103416840351,3.97791484898671,7.91073701832691,0.499957795016934,0.374396134304536,7.75049843774235,-1.18458337421538,-1.62173224405545,4.40490954295869,-0.897067278361133,-1.09657575415285,-0.0419582805876889
