"Species","TOCHE_H","TOCHE_M","TOCHE_EXT","TOCHE_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Accipiter striatus",0,1,NA,1,1.04628211937572,-0.31984495353057,0.263138956135921,1.12055091686561,1.07712393781589,1.60295514111791,0.413433152082083,2.03842698194749,0.122589268320345,1.26395000236852,0.325510593215967,0.282841550435435,-0.245783694724473,0.401558529202688
"Acropternis orthonyx",2,6,NA,NA,0.764159835756188,-0.0600073157594627,-0.394420283791994,-0.121407968002251,0.210998773507683,0.775707131542177,-1.22612159457489,0.645546492012668,1.3675383261769,0.0107688566700664,0.409469514079929,-0.29424509019963,0.390336042939324,0.321656789093108
"Adelomyia melanogenys",2,12,NA,NA,-1.4338410962146,-0.342439530728058,-0.840621196600222,-0.718063330893838,-0.809655329807057,-1.08713283076169,2.33275319281148,-2.34578051698824,-1.92094003647559,0.182282726433123,0.159359520616027,0.133581101456062,-0.277567442339928,0.134066867854455
"Aeronautes montivagus",0,6,NA,1,-0.367512096926746,-0.986384980856455,-0.88758971373793,0.170480986505864,-0.603616744465016,-0.958449807049908,2.87927144169714,-1.66955123188831,-2.13058759766783,1.31817097244269,0.0479542520454064,0.765767753902335,0.437037282341573,0.274915943062354
"Aglaiocercus kingii",0,9,NA,1,-1.44941827200097,-0.189926134645016,-0.864105455169076,-0.637936951224943,-0.611247803181388,-1.06874954166001,2.50841977281044,-2.19759122722842,-2.1403840496004,0.209614768634423,0.180608853842978,-0.0393937479964173,-0.315094934008872,0.12919553982903
"Amazona mercenarius",2,2,NA,NA,1.76911707248249,0.487911181279612,2.14187964164425,1.5841392563785,0.438022770319746,-0.180223901745333,0.524038035785133,2.7127017494263,-0.881578992099591,-0.624971648418183,-1.08233740602697,1.46754239397572,0.665371115252757,-0.161680497216176
"Amblycercus holosericeus",1,1,NA,NA,0.579444800884616,0.357992362394059,0.192686180429359,-0.124269624418997,0.375066535909678,0.475446742881357,-0.894306943465744,0.898431072788987,0.790926174329716,-0.530593391227322,0.0335969695093704,-0.277148240042449,0.145602949167129,0.240850282420576
"Ampelion rubrocristatus",6,11,NA,NA,0.534114282407794,-0.195574778944388,-0.136093439534599,0.143295250546775,0.159489127172172,0.0710143826443331,0.0100506350474299,0.309980151839443,0.148380649557062,0.198557338605559,-0.0453966690154097,0.101425918661066,0.418022746484926,0.198502989640353
"Anabacerthia striaticollis",0,4,NA,1,-0.208770626821609,-0.302899020632454,-0.558810093773973,-0.228720083630234,-0.0331951054162179,-0.229246006016487,-0.412850390875997,-0.575527698951004,0.467578478830333,0.0609522045528571,-0.0313495558104011,-0.272720532309611,0.236242354843892,-0.112496794013741
"Andigena hypoglauca",2,5,NA,NA,1.70612508022674,3.79801674071155,4.63121104994279,0.96888312677806,1.75819592825208,1.05758423110131,-0.887800773836153,5.94608744746272,-0.801106661825052,-4.19603681581779,-1.13450207689236,0.162980909158474,-1.02358140270401,0.065839209367342
"Andigena nigrirostris",3,22,NA,NA,1.79101617854997,3.64550334462851,5.05392770418216,0.915942483068255,2.05008392415331,1.00243436379627,-0.803220568651468,6.17396615240509,-0.854118077532792,-4.16721199618049,-1.60430190130626,0.303451047969683,-1.18680426420201,0.217014391036205
"Anisognathus igniventris",0,30,NA,1,0.0295917240076421,-0.517547504008587,-0.159577698103453,-0.220135114379995,-0.0484572228489616,0.0832699087121219,-0.490924426431091,-0.24515890516166,0.701693713452993,0.127288022567774,-0.154488084570752,0.130277087228589,0.0675922790395216,0.0938648339839103
"Anisognathus lacrymosus",14,30,NA,NA,-0.0401932026730671,-0.500601571110471,-0.183061956672307,-0.197241863046025,-0.0446416934907756,0.0832699087121219,-0.516949104949456,-0.26700581093906,0.70635588237573,0.122926709553884,-0.13583128135206,0.0930739415241076,0.0352222984431793,0.0341922373446447
"Anisognathus somptuosus",1,15,NA,NA,0.23290934967144,-0.223818000441248,-0.0656406638280362,-0.162901986045071,-0.0942435751471927,0.046503330508756,-0.217665301988261,-0.027877283324151,0.368477044598807,-0.0770129069926574,-0.048927126806487,0.162415564557972,0.202006099438043,0.183933601357782
"Anthocephala berlepschi",1,5,NA,NA,-1.60628280633325,-0.269007154836223,-1.14591655799533,-0.742387410436181,-0.86307274082166,-1.185177039304,2.6125184868839,-2.62227809863222,-2.19066154045661,0.265127136314784,0.34973372410963,-0.0417559861968954,-0.23739061233137,0.100335249196538
"Arremon assimilis",8,0,1,NA,0.133242542141599,-0.302899020632454,0.0282963704473801,-0.281660727340039,0.134688186343964,0.248719510627268,-1.01141799679839,0.122311925344911,1.07938821519241,-0.168714114900712,-0.21045964931354,-0.0489185152798825,9.63670807807432e-05,0.0860814234182822
"Arremon brunneinucha",0,9,NA,1,0.224372916924387,-0.252061221938107,-0.0186721466903282,-0.321723917174486,0.130872656985778,0.309997140966211,-0.991899487909612,0.16751125613008,1.08139350200881,-0.179651831690868,-0.126624378460852,-0.0798136611019623,0.0465760729942493,0.174157867706826
"Asio stygius",1,0,1,NA,2.15280336237061,1.00758645682183,0.873729678926129,3.19811347542337,1.82878322137852,1.14950067660973,1.12260564170752,4.26088995498918,-1.41791805746819,1.01756532253589,0.235729527384189,0.195410579572999,0.765125908079882,-0.557868737645946
