"Species","Abundance","Period","Di"
"Monasa flavirostris",7,"HISTORICAL",2.2922549811963
"Monasa morphoeus",11,"HISTORICAL",2.56904013255974
"Monasa nigrifrons",6,"HISTORICAL",2.62312024804933
"Myiarchus ferox",3,"HISTORICAL",2.09522113757954
"Myiarchus swainsoni",1,"HISTORICAL",2.02565458669719
"Myiobius barbatus",4,"HISTORICAL",2.31195101954705
"Myiozetetes similis",1,"HISTORICAL",1.99885949020873
"Myrmoborus leucophrys",5,"HISTORICAL",2.17595712994555
"Myrmoborus myotherinus",9,"HISTORICAL",2.22359107249355
"Myrmothera campanisona",4,"HISTORICAL",2.65105156262297
"Myrmothera dives",1,"HISTORICAL",2.55178302821751
"Myrmotherula axillaris",10,"HISTORICAL",2.55751640321078
"Myrmotherula brachyura",2,"HISTORICAL",2.91732138862819
"Myrmotherula menetriesii",1,"HISTORICAL",2.54778427115363
"Myrmotherula schisticolor",1,"HISTORICAL",2.50446259335829
"Nycticorax nycticorax",1,"HISTORICAL",6.10244039719316
"Ochthornis littoralis",2,"HISTORICAL",2.17026943237637
"Odontophorus gujanensis",1,"HISTORICAL",3.0027419653584
"Pachyramphus castaneus",1,"HISTORICAL",2.06926294938638
"Pachyramphus minor",3,"HISTORICAL",2.08427771639193
"Pachyramphus polychopterus",3,"HISTORICAL",2.10043281826557
"Paroaria gularis",6,"HISTORICAL",2.04574947027618
"Patagioenas subvinacea",1,"HISTORICAL",2.93208034623641
"Phaethornis bourcieri",4,"HISTORICAL",4.39162864904732
"Pharomachrus pavoninus",1,"HISTORICAL",3.43180341936187
"Philydor pyrrhodes",1,"HISTORICAL",2.02270527087471
"Piaya cayana",1,"HISTORICAL",4.76050231962544
"Pionites melanocephalus",2,"HISTORICAL",3.15969898277419
"Pipile cumanensis",1,"HISTORICAL",6.80967061745196
"Pipra filicauda",3,"HISTORICAL",2.21805176726952
"Platyrinchus coronatus",2,"HISTORICAL",2.58223955298661
"Poecilotriccus latirostris",1,"HISTORICAL",2.54051686744072
"Progne chalybea",2,"HISTORICAL",3.22596964539536
"Psarocolius angustifrons",3,"HISTORICAL",4.28372197072388
"Psarocolius bifasciatus",2,"HISTORICAL",4.75149213710654
"Psarocolius decumanus",2,"HISTORICAL",4.10664939023333
"Psophia crepitans",1,"HISTORICAL",7.88294478046672
"Pteroglossus azara",4,"HISTORICAL",6.09149610744006
"Pteroglossus inscriptus",2,"HISTORICAL",5.47158811290849
"Pteroglossus pluricinctus",3,"HISTORICAL",7.58429011495207
"Pyrocephalus rubinus",1,"HISTORICAL",2.14515061426091
"Querula purpurata",6,"HISTORICAL",3.05400974143931
"Ramphastos tucanus",6,"HISTORICAL",11.9287027409071
"Ramphocelus carbo",12,"HISTORICAL",2.06072898580457
"Ramphocelus nigrogularis",5,"HISTORICAL",2.005688120676
"Rhynchocyclus olivaceus",4,"HISTORICAL",2.22978532286629
"Rhytipterna simplex",1,"HISTORICAL",2.07694628782315
"Rupornis magnirostris",2,"HISTORICAL",4.34497001087173
"Saltator coerulescens",4,"HISTORICAL",2.25012846642472
"Saltator maximus",5,"HISTORICAL",2.18426437768623
"Sclerurus caudacutus",5,"HISTORICAL",2.04777342873924
"Selenidera reinwardtii",4,"HISTORICAL",4.55604677106594
"Sporophila castaneiventris",1,"HISTORICAL",2.57442004847704
"Sporophila corvina",3,"HISTORICAL",2.3726378528233
"Sporophila murallae",1,"HISTORICAL",2.36225296721129
"Sporophila nigricollis",1,"HISTORICAL",2.50859222338531
"Stelgidopteryx ruficollis",1,"HISTORICAL",3.18439313213575
"Synallaxis moesta",2,"HISTORICAL",2.25521532203418
"Synallaxis rutilans",3,"HISTORICAL",2.29612590745969
"Tachycineta albiventer",13,"HISTORICAL",3.12897576485852
"Tachyphonus surinamus",3,"HISTORICAL",2.04246493326336
"Tangara chilensis",1,"HISTORICAL",2.14395889712541
"Tangara mexicana",2,"HISTORICAL",2.18772452427358
"Tangara schrankii",1,"HISTORICAL",2.21711272534844
"Thalurania furcata",2,"HISTORICAL",4.25066129306912
"Thamnistes anabatinus",2,"HISTORICAL",2.05106217408308
"Thamnomanes ardesiacus",8,"HISTORICAL",2.07757644276507
"Thamnomanes caesius",6,"HISTORICAL",2.13419765790417
"Thamnophilus schistaceus",3,"HISTORICAL",2.10965872392312
"Thraupis episcopus",7,"HISTORICAL",2.05199791562696
"Thraupis palmarum",5,"HISTORICAL",2.03780841913592
"Tityra cayana",2,"HISTORICAL",2.52257480587161
"Tityra inquisitor",2,"HISTORICAL",2.48850905324618
"Tolmomyias assimilis",1,"HISTORICAL",2.1286720808555
"Tolmomyias poliocephalus",4,"HISTORICAL",2.34657112457768
"Trogon chionurus",4,"HISTORICAL",3.05408895501426
"Trogon curucui",3,"HISTORICAL",2.75695260096952
"Trogon melanurus",2,"HISTORICAL",3.15071352930328
"Trogon ramonianus",1,"HISTORICAL",2.81542866309062
"Trogon rufus",1,"HISTORICAL",2.797044126568
"Turdus albicollis",4,"HISTORICAL",2.20106888339157
"Turdus ignobilis",6,"HISTORICAL",2.24737586830636
"Tyrannulus elatus",1,"HISTORICAL",2.72722402940543
"Tyrannus melancholicus",1,"HISTORICAL",2.2639166793304
"Willisornis poecilinotus",3,"HISTORICAL",2.1398308415828
"Xiphorhynchus elegans",1,"HISTORICAL",2.08756041769725
"Xiphorhynchus guttatus",1,"HISTORICAL",2.45903086602995
"Actitis macularius",1,"MODERN",3.21915211017623
"Amazona amazonica",4,"MODERN",4.50316242346957
"Ammodramus aurifrons",47,"MODERN",2.8705959882036
"Anhima cornuta",6,"MODERN",9.69557992321209
"Anthracothorax nigricollis",1,"MODERN",4.28041223909839
"Ara severus",15,"MODERN",5.81832943357991
"Arremonops conirostris",11,"MODERN",2.77150269517208
"Atticora fasciata",29,"MODERN",3.44353611502569
"Attila cinnamomeus",7,"MODERN",2.68988129255618
"Attila spadiceus",25,"MODERN",2.58121935473959
"Baryphthengus martii",1,"MODERN",4.76572099688507
