"Species","Abundance","Period","Di"
"Tiaris olivaceus",1,"HISTORICAL",1.9155378152108
"Todirostrum cinereum",2,"HISTORICAL",2.04955940041659
"Troglodytes aedon",2,"HISTORICAL",1.91819319965016
"Turdus ignobilis",4,"HISTORICAL",2.10033264776608
"Turdus leucomelas",3,"HISTORICAL",2.12016063194583
"Tyrannus melancholicus",1,"HISTORICAL",2.11183606134104
"Volatinia jacarina",1,"HISTORICAL",1.90134222977231
"Xiphorhynchus susurrans",2,"HISTORICAL",2.08729633596701
"Zimmerius chrysops",1,"HISTORICAL",1.92307296770596
"Amazilia tzacatl",22,"MODERN",3.81930686590215
"Amazona amazonica",1,"MODERN",4.48361057615601
"Amazona farinosa",6,"MODERN",5.31128887527568
"Amazona ochrocephala",32,"MODERN",4.86112073424183
"Aramides cajaneus",2,"MODERN",4.37643486440809
"Ardea alba",3,"MODERN",10.781485978401
"Ardea cocoi",2,"MODERN",14.1979553367043
"Arremon aurantiirostris",27,"MODERN",2.08324186940184
"Arremonops conirostris",8,"MODERN",2.17742388852611
"Atalotriccus pilaris",11,"MODERN",2.58551000970365
"Automolus ochrolaemus",1,"MODERN",1.97485046241271
"Basileuterus rufifrons",29,"MODERN",2.21897068147153
"Brotogeris jugularis",66,"MODERN",2.76656595913883
"Buteo nitidus",10,"MODERN",4.97805285015729
"Buteo platypterus",1,"MODERN",4.9728566685087
"Butorides striata",5,"MODERN",4.28869015022701
"Campephilus melanoleucos",1,"MODERN",3.69532374197335
"Camptostoma obsoletum",3,"MODERN",2.37439366077106
"Campylorhamphus trochilirostris",1,"MODERN",3.18240229734244
"Campylorhynchus zonatus",7,"MODERN",2.10130055941556
"Cantorchilus leucotis",5,"MODERN",2.09117460736044
"Cantorchilus nigricapillus",3,"MODERN",2.10109735967538
"Capsiempis flaveola",1,"MODERN",2.34049888065995
"Cardellina canadensis",10,"MODERN",2.1462497632028
"Catharus minimus",8,"MODERN",2.17382780424855
"Catharus ustulatus",47,"MODERN",2.19715951293967
"Cercomacra nigricans",8,"MODERN",2.06898587584905
"Cercomacroides tyrannina",12,"MODERN",2.09560906886606
"Certhiaxis cinnamomeus",10,"MODERN",2.11627264709081
"Chalybura buffonii",12,"MODERN",3.97295585093681
"Chiroxiphia lanceolata",7,"MODERN",2.12011462036148
"Chlorestes julie",1,"MODERN",3.22099252080446
"Chloroceryle americana",4,"MODERN",2.59274487767503
"Chlorophonia cyanocephala",1,"MODERN",2.28298413829566
"Chlorostilbon gibsoni",3,"MODERN",4.33142524275936
"Chrysolampis mosquitus",2,"MODERN",4.26660871875333
"Chrysuronia goudoti",8,"MODERN",4.01219051912173
"Ciccaba virgata",1,"MODERN",3.94392660747851
"Claravis pretiosa",6,"MODERN",2.29684283899598
"Clibanornis rubiginosus",1,"MODERN",2.13316502660667
"Cnemotriccus fuscatus",11,"MODERN",2.02625555112336
"Coccycua minuta",1,"MODERN",2.59401691235929
"Coereba flaveola",8,"MODERN",2.22533725816367
"Colaptes punctigula",6,"MODERN",2.12983185716255
"Colinus cristatus",2,"MODERN",2.46010076920286
"Colonia colonus",1,"MODERN",2.79926810174103
"Columbina passerina",6,"MODERN",2.19074887622863
"Columbina talpacoti",62,"MODERN",2.13684430335897
"Conirostrum leucogenys",5,"MODERN",2.45764477488977
"Contopus cinereus",2,"MODERN",2.10915296153832
"Contopus virens",2,"MODERN",2.18645806257553
"Coragyps atratus",11,"MODERN",7.51942977186461
"Corapipo leucorrhoa",1,"MODERN",2.26360563796011
"Coryphospingus pileatus",10,"MODERN",2.00292820316563
"Crotophaga ani",34,"MODERN",3.43846033947003
"Crotophaga major",21,"MODERN",5.050828122075
"Crotophaga sulcirostris",3,"MODERN",3.07722294037057
"Crypturellus soui",5,"MODERN",2.8637660759121
"Cyanocorax affinis",37,"MODERN",4.07104769895645
"Cyanoloxia cyanoides",2,"MODERN",2.32701798710541
"Cyclarhis gujanensis",34,"MODERN",1.93834469823122
"Dendrocincla fuliginosa",10,"MODERN",2.10993886023051
"Dendrocygna autumnalis",17,"MODERN",5.39946974294469
"Dendroplex picus",11,"MODERN",2.08011330847611
"Donacobius atricapilla",7,"MODERN",2.32550599969241
"Dryobates kirkii",3,"MODERN",1.95204811743761
"Dryocopus lineatus",2,"MODERN",3.39636112949288
"Elaenia flavogaster",45,"MODERN",1.95532104168509
"Empidonax virescens",8,"MODERN",2.10082123561416
"Eucometis penicillata",12,"MODERN",1.92916204094008
"Euphonia laniirostris",35,"MODERN",2.13858177171011
"Euscarthmus meloryphus",4,"MODERN",2.51460068292164
"Falco sparverius",6,"MODERN",3.3323903909563
"Fluvicola pica",3,"MODERN",2.01472955966073
"Formicivora grisea",21,"MODERN",2.32900550203371
"Forpus conspicillatus",20,"MODERN",2.72538024148283
"Furnarius leucopus",2,"MODERN",2.17751084796207
"Galbula ruficauda",16,"MODERN",2.96349835371594
"Geothlypis philadelphia",5,"MODERN",2.17141391951635
"Geotrygon montana",4,"MODERN",2.56176883009311
"Glaucis hirsutus",2,"MODERN",3.73443093406083
"Habia gutturalis",1,"MODERN",2.08653948661681
"Hemithraupis flavicollis",1,"MODERN",2.04107257209507
"Hemitriccus margaritaceiventer",6,"MODERN",2.38097706116848
"Henicorhina leucosticta",19,"MODERN",2.29721406053516
"Herpetotheres cachinnans",8,"MODERN",5.51614235681272
"Hylophilus flavipes",91,"MODERN",2.17659883555449
"Hypnelus ruficollis",7,"MODERN",2.59548593329443
"Icterus auricapillus",1,"MODERN",2.00194834287666
"Icterus chrysater",7,"MODERN",2.14399774651215
"Icterus galbula",1,"MODERN",1.999037573471
"Icterus nigrogularis",9,"MODERN",2.01997221534707
"Jacana jacana",15,"MODERN",3.24113599621946
