"Species","Abundance","Period","Di"
"Monasa morphoeus",13,"HISTORICAL",2.6004958201934
"Monasa nigrifrons",6,"HISTORICAL",2.65342764181414
"Myiarchus ferox",3,"HISTORICAL",2.1432291783341
"Myiarchus swainsoni",1,"HISTORICAL",2.07224037203001
"Myiobius barbatus",6,"HISTORICAL",2.35053447945946
"Myiozetetes granadensis",2,"HISTORICAL",2.05711495029048
"Myiozetetes similis",1,"HISTORICAL",2.04583570483584
"Myrmelastes leucostigma",4,"HISTORICAL",2.26074470703766
"Myrmoborus leucophrys",5,"HISTORICAL",2.22180434444952
"Myrmoborus myotherinus",10,"HISTORICAL",2.26727148606676
"Myrmothera campanisona",4,"HISTORICAL",2.70592798744049
"Myrmothera fulviventris",1,"HISTORICAL",2.47565900610225
"Myrmotherula axillaris",10,"HISTORICAL",2.59459653267638
"Myrmotherula brachyura",2,"HISTORICAL",2.95120991269372
"Myrmotherula menetriesii",1,"HISTORICAL",2.58394495171722
"Nycticorax nycticorax",1,"HISTORICAL",6.03513768365752
"Ochthornis littoralis",2,"HISTORICAL",2.21045554563691
"Odontophorus gujanensis",1,"HISTORICAL",3.05445642957372
"Pachyramphus castaneus",1,"HISTORICAL",2.11169463403614
"Pachyramphus minor",3,"HISTORICAL",2.13324035519159
"Pachyramphus polychopterus",3,"HISTORICAL",2.14427391769194
"Paroaria gularis",6,"HISTORICAL",2.09261890508182
"Patagioenas subvinacea",1,"HISTORICAL",2.96604685915346
"Phaethornis bourcieri",4,"HISTORICAL",4.44356573644662
"Pharomachrus pavoninus",1,"HISTORICAL",3.435305434928
"Philydor pyrrhodes",1,"HISTORICAL",2.07140945688987
"Piaya cayana",1,"HISTORICAL",4.68938232160623
"Pionites melanocephalus",2,"HISTORICAL",3.18504466066736
"Pipile cumanensis",1,"HISTORICAL",6.70397386219175
"Pipra filicauda",3,"HISTORICAL",2.25726109740937
"Platyrinchus coronatus",2,"HISTORICAL",2.61694779623052
"Plegadis falcinellus",1,"HISTORICAL",7.65327957480729
"Poecilotriccus latirostris",1,"HISTORICAL",2.57918326875676
"Progne chalybea",2,"HISTORICAL",3.27895866379681
"Psarocolius angustifrons",3,"HISTORICAL",4.25197015996879
"Psarocolius bifasciatus",2,"HISTORICAL",4.70733647504714
"Psarocolius decumanus",3,"HISTORICAL",4.08109557091251
"Psophia crepitans",1,"HISTORICAL",7.82612048872142
"Pteroglossus azara",4,"HISTORICAL",5.99831422689301
"Pteroglossus inscriptus",2,"HISTORICAL",5.39786999662004
"Pteroglossus pluricinctus",3,"HISTORICAL",7.442940555522
"Pyrocephalus rubinus",1,"HISTORICAL",2.18622067845954
