"Species","Abundance","Period","Di"
"Todirostrum cinereum",2,"HISTORICAL",2.04555364762368
"Troglodytes aedon",2,"HISTORICAL",1.91120595889233
"Turdus ignobilis",4,"HISTORICAL",2.10747464536038
"Turdus leucomelas",3,"HISTORICAL",2.12771982954899
"Tyrannus melancholicus",1,"HISTORICAL",2.12347827071616
"Volatinia jacarina",1,"HISTORICAL",1.89359395583006
"Xiphorhynchus guttatus",1,"HISTORICAL",2.42859334950245
"Xiphorhynchus susurrans",1,"HISTORICAL",2.09705925561342
"Zimmerius chrysops",1,"HISTORICAL",1.91534845868149
"Amazilia tzacatl",22,"MODERN",3.83257119390957
"Amazona amazonica",1,"MODERN",4.54614747380029
"Amazona farinosa",6,"MODERN",5.38769943600983
"Amazona ochrocephala",32,"MODERN",4.93030333132449
"Aramides cajaneus",2,"MODERN",4.42469418930101
"Ardea alba",3,"MODERN",10.9286494494991
"Ardea cocoi",2,"MODERN",14.3889114611896
"Arremon aurantiirostris",27,"MODERN",2.105127348068
"Arremonops conirostris",8,"MODERN",2.19760853615882
"Atalotriccus pilaris",11,"MODERN",2.61110607538947
"Automolus ochrolaemus",1,"MODERN",1.99804094600794
"Basileuterus rufifrons",29,"MODERN",2.24117303975189
"Brotogeris jugularis",66,"MODERN",2.78853546918637
"Buteo nitidus",10,"MODERN",5.04141205801081
"Buteo platypterus",1,"MODERN",5.03663614444247
"Butorides striata",5,"MODERN",4.35290472004237
"Campephilus melanoleucos",1,"MODERN",3.74642297381762
"Camptostoma obsoletum",3,"MODERN",2.40202505901588
"Campylorhamphus trochilirostris",1,"MODERN",3.23622973819231
"Campylorhynchus zonatus",7,"MODERN",2.12566944505288
"Cantorchilus leucotis",5,"MODERN",2.11461211474399
"Cantorchilus nigricapillus",3,"MODERN",2.12219346198207
"Capsiempis flaveola",1,"MODERN",2.36436690859681
"Cardellina canadensis",10,"MODERN",2.16836152258726
"Catharus minimus",8,"MODERN",2.19558783202555
"Catharus ustulatus",47,"MODERN",2.2186858661312
"Cercomacra nigricans",8,"MODERN",2.08899828302653
"Cercomacroides tyrannina",12,"MODERN",2.11513681115465
"Certhiaxis cinnamomeus",10,"MODERN",2.13997235879098
"Chalybura buffonii",12,"MODERN",3.98444605076581
"Chiroxiphia lanceolata",7,"MODERN",2.14295110188695
"Chlorestes julie",1,"MODERN",3.25455778322866
"Chloroceryle americana",4,"MODERN",2.62874979969096
"Chlorophonia cyanocephala",1,"MODERN",2.30914928835388
"Chlorostilbon gibsoni",3,"MODERN",4.34581708342208
"Chrysolampis mosquitus",2,"MODERN",4.27966741941742
"Chrysuronia goudoti",8,"MODERN",4.02751663381254
"Ciccaba virgata",1,"MODERN",3.99568246583501
"Claravis pretiosa",6,"MODERN",2.32194136879283
"Clibanornis rubiginosus",1,"MODERN",2.1561077657332
"Cnemotriccus fuscatus",11,"MODERN",2.04805493160626
"Coccycua minuta",1,"MODERN",2.6397949487475
"Coereba flaveola",8,"MODERN",2.25298270800275
"Colaptes punctigula",6,"MODERN",2.15452638974033
"Colinus cristatus",2,"MODERN",2.48470272011055
"Colonia colonus",1,"MODERN",2.85314684249113
"Columbina passerina",6,"MODERN",2.21675079851531
"Columbina talpacoti",62,"MODERN",2.16216726968365
"Conirostrum leucogenys",5,"MODERN",2.4869685182618
"Contopus cinereus",2,"MODERN",2.13205001259045
"Contopus virens",2,"MODERN",2.20708913707575
"Coragyps atratus",11,"MODERN",7.61294605369712
"Corapipo leucorrhoa",1,"MODERN",2.29306359804225
"Coryphospingus pileatus",10,"MODERN",2.02632071144847
"Crotophaga ani",34,"MODERN",3.50033032970902
"Crotophaga major",21,"MODERN",5.15453981287578
"Crotophaga sulcirostris",3,"MODERN",3.13121367500067
"Crypturellus soui",5,"MODERN",2.89237611170407
"Cyanocorax affinis",37,"MODERN",4.128778426623
"Cyanoloxia cyanoides",2,"MODERN",2.35751591556353
"Cyclarhis gujanensis",34,"MODERN",1.96002903202658
"Dendrocincla fuliginosa",10,"MODERN",2.13784602580538
"Dendrocygna autumnalis",17,"MODERN",5.46880393152391
"Dendroplex picus",11,"MODERN",2.10663203224909
"Donacobius atricapilla",7,"MODERN",2.35255187290896
"Dryobates kirkii",3,"MODERN",1.97474123826286
"Dryocopus lineatus",2,"MODERN",3.44373907652816
"Elaenia flavogaster",45,"MODERN",1.97868300230016
"Empidonax virescens",8,"MODERN",2.12240917997529
"Eucometis penicillata",12,"MODERN",1.95265569921806
"Euphonia laniirostris",35,"MODERN",2.16604818305036
"Euscarthmus meloryphus",4,"MODERN",2.5404415272513
"Falco sparverius",6,"MODERN",3.36578227063885
"Fluvicola pica",3,"MODERN",2.03734727648926
"Formicivora grisea",21,"MODERN",2.3495350952347
"Forpus conspicillatus",20,"MODERN",2.75400522670402
"Furnarius leucopus",2,"MODERN",2.20233063652995
"Galbula ruficauda",16,"MODERN",3.01252344658957
"Geothlypis philadelphia",5,"MODERN",2.1958729694341
"Geotrygon montana",4,"MODERN",2.58766626390686
"Glaucis hirsutus",2,"MODERN",3.75122029863535
"Habia gutturalis",1,"MODERN",2.11343404213548
"Hemithraupis flavicollis",1,"MODERN",2.06421576901089
